brand_name,generic_name,manufacturer,source
Jemperli,Dostarlimab,GSK,AI-Enriched-2026
Shingrix,Zoster vaccine recombinant,GSK,AI-Enriched-2026
Cervarix,Human papillomavirus vaccine,GSK,AI-Enriched-2026
Infanrix,"Diphtheria, tetanus, and acellular pertussis vaccine",GSK,AI-Enriched-2026
Priorix,"Measles, mumps, and rubella vaccine",GSK,AI-Enriched-2026
Havrix,Hepatitis A vaccine,GSK,AI-Enriched-2026
Engerix-B,Hepatitis B vaccine,GSK,AI-Enriched-2026
Rotarix,Rotavirus vaccine,GSK,AI-Enriched-2026
Synflorix,Pneumococcal conjugate vaccine,GSK,AI-Enriched-2026
Boostrix,"Tetanus, diphtheria, and acellular pertussis vaccine",GSK,AI-Enriched-2026
Zentel,Albendazole,GSK,AI-Enriched-2026
Koselugo,Selumetinib,AstraZeneca,AI-Enriched-2026
Enhertu,Trastuzumab deruxtecan,AstraZeneca,AI-Enriched-2026
Soliris,Eculizumab,AstraZeneca,AI-Enriched-2026
Ultomiris,Ravulizumab,AstraZeneca,AI-Enriched-2026
Zoladex,Goserelin,AstraZeneca,AI-Enriched-2026
Xenical,Orlistat,Roche,AI-Enriched-2026
Pulmozyme,Dornase alfa,Roche,AI-Enriched-2026
Invirase,Saquinavir,Roche,AI-Enriched-2026
Fuzeon,Enfuvirtide,Roche,AI-Enriched-2026
Nutropin,Somatropin,Roche,AI-Enriched-2026
Copegus,Ribavirin,Roche,AI-Enriched-2026
Lucentis,Ranibizumab,Novartis,AI-Enriched-2026
Exforge,Amlodipine;Valsartan,Novartis,AI-Enriched-2026
Trileptal,Oxcarbazepine,Novartis,AI-Enriched-2026
Comtan,Entacapone,Novartis,AI-Enriched-2026
Ritalin,Methylphenidate,Novartis,AI-Enriched-2026
Zaditen,Ketotifen,Novartis,AI-Enriched-2026
Exjade,Deferasirox,Novartis,AI-Enriched-2026
Visudyne,Verteporfin,Novartis,AI-Enriched-2026
Aclasta,Zoledronic acid,Novartis,AI-Enriched-2026
Zometa,Zoledronic acid,Novartis,AI-Enriched-2026
Simulect,Basiliximab,Novartis,AI-Enriched-2026
Certican,Everolimus,Novartis,AI-Enriched-2026
Myfortic,Mycophenolic acid,Novartis,AI-Enriched-2026
Co-Aprovel,Irbesartan;Hydrochlorothiazide,Sanofi,AI-Enriched-2026
Nasacort,Triamcinolone acetonide,Sanofi,AI-Enriched-2026
Essentiale,Phospholipids,Sanofi,AI-Enriched-2026
Enterogermina,Bacillus clausii,Sanofi,AI-Enriched-2026
No-Spa,Drotaverine,Sanofi,AI-Enriched-2026
Insuman,Insulin human,Sanofi,AI-Enriched-2026
Janumet,Sitagliptin;Metformin,MSD,AI-Enriched-2026
Hyzaar,Losartan;Hydrochlorothiazide,MSD,AI-Enriched-2026
Cancidas,Caspofungin,MSD,AI-Enriched-2026
NuvaRing,Etonogestrel;Ethinyl estradiol,MSD,AI-Enriched-2026
Zostavax,Zoster vaccine live,MSD,AI-Enriched-2026
Ganaton,Itopride hydrochloride,Abbott,AI-Enriched-2026
Teveten,Eprosartan,Abbott,AI-Enriched-2026
Dicetel,Pinaverium bromide,Abbott,AI-Enriched-2026
Fevarin,Fluvoxamine maleate,Abbott,AI-Enriched-2026
Lipidil,Fenofibrate,Abbott,AI-Enriched-2026
Physiotens,Moxonidine,Abbott,AI-Enriched-2026
Surbex,Multivitamins;Minerals;Zinc,Abbott,AI-Enriched-2026
Iberet,Ferrous sulfate;Vitamin B complex;Vitamin C,Abbott,AI-Enriched-2026
Tarka,Trandolapril;Verapamil,Abbott,AI-Enriched-2026
Simdax,Levosimendan,Abbott,AI-Enriched-2026
Bepanthen,Dexpanthenol,Bayer,AI-Enriched-2026
Berocca,Multivitamins;Minerals,Bayer,AI-Enriched-2026
Redoxon,Ascorbic acid,Bayer,AI-Enriched-2026
Qlaira,Estradiol valerate;Dienogest,Bayer,AI-Enriched-2026
Progynova,Estradiol valerate,Bayer,AI-Enriched-2026
Primolut N,Norethisterone,Bayer,AI-Enriched-2026
Bilthricide,Praziquantel,Bayer,AI-Enriched-2026
Androcur,Cyproterone acetate,Bayer,AI-Enriched-2026
Angeliq,Drospirenone;Estradiol,Bayer,AI-Enriched-2026
Bonefos,Clodronate disodium,Bayer,AI-Enriched-2026
Reminyl,Galantamine,J&J,AI-Enriched-2026
Velcade,Bortezomib,J&J,AI-Enriched-2026
Simponi,Golimumab,J&J,AI-Enriched-2026
Spravato,Esketamine,J&J,AI-Enriched-2026
Rybrevant,Amivantamab,J&J,AI-Enriched-2026
Prezista,Darunavir,J&J,AI-Enriched-2026
Intelence,Etravirine,J&J,AI-Enriched-2026
Strattera,Atomoxetine,Eli Lilly,AI-Enriched-2026
Taltz,Ixekizumab,Eli Lilly,AI-Enriched-2026
Evista,Raloxifene,Eli Lilly,AI-Enriched-2026
Acivir,Acyclovir,Cipla,AI-Enriched-2026
Stamlo,Amlodipine,Dr. Reddy's,AI-Enriched-2026
Candid,Clotrimazole,Glenmark,AI-Enriched-2026
Glevo,Levofloxacin,Glenmark,AI-Enriched-2026
Tidomet,Levodopa;Carbidopa,Torrent,AI-Enriched-2026
Razo,Rabeprazole,Dr. Reddy's,AI-Enriched-2026
Lonazep,Clonazepam,Sun Pharma,AI-Enriched-2026
Atocor,Atorvastatin,Dr. Reddy's,AI-Enriched-2026
Roseday,Rosuvastatin,JB Chemicals,AI-Enriched-2026
Telvas,Telmisartan,Aristo,AI-Enriched-2026
Metolar,Metoprolol,Cipla,AI-Enriched-2026
Asthalin,Salbutamol,Cipla,AI-Enriched-2026
Budenase,Budesonide,Cipla,AI-Enriched-2026
Tiotrop,Tiotropium,Cipla,AI-Enriched-2026
Exiton,Memantine,Sun Pharma,AI-Enriched-2026
Donep,Donepezil,Alkem,AI-Enriched-2026
Pramipex,Pramipexole,Sun Pharma,AI-Enriched-2026
Levipil,Levetiracetam,Sun Pharma,AI-Enriched-2026
Olmat,Olmesartan,Micro Labs,AI-Enriched-2026
Amlopres,Amlodipine,Cipla,AI-Enriched-2026
Aztor,Atorvastatin,Sun Pharma,AI-Enriched-2026
Rosulip,Rosuvastatin,Cipla,AI-Enriched-2026
Corvadil,Amlodipine,Torrent,AI-Enriched-2026
Ecosprin,Aspirin,USV,AI-Enriched-2026
Glycomet,Metformin,USV,AI-Enriched-2026
Zifi,Cefixime,FDC,AI-Enriched-2026
Taxim-O,Cefixime,Alkem,AI-Enriched-2026
Mizart,Telmisartan,Biocon,AI-Enriched-2026
Ipravent,Ipratropium,Cipla,AI-Enriched-2026
Duolin,Salbutamol;Ipratropium,Cipla,AI-Enriched-2026
Orencia,Abatacept,BMS,AI-Enriched-2026
Nulojix,Belatacept,BMS,AI-Enriched-2026
Inrebic,Fedratinib,BMS,AI-Enriched-2026
Breyanzi,Lisocabtagene maraleucel,BMS,AI-Enriched-2026
Abecma,Idecabtagene vicleucel,BMS,AI-Enriched-2026
Idhifa,Enasidenib,BMS,AI-Enriched-2026
Rezlidhia,Olutasidenib,BMS,AI-Enriched-2026
Augtyro,Repotrectinib,BMS,AI-Enriched-2026
Vraylar,Cariprazine,AbbVie,AI-Enriched-2026
Ubrelvy,Ubrogepant,AbbVie,AI-Enriched-2026
Qulipta,Atogepant,AbbVie,AI-Enriched-2026
Linzess,Linaclotide,AbbVie,AI-Enriched-2026
Viibryd,Vilazodone,AbbVie,AI-Enriched-2026
Tepmetko,Tepotinib,Merck,AI-Enriched-2026
Saizen,Somatropin,Merck,AI-Enriched-2026
Kuvan,Sapropterin,Merck,AI-Enriched-2026
Erivedge,Vismodegib,Roche,AI-Enriched-2026
Cotellic,Cobimetinib,Roche,AI-Enriched-2026
Xofluza,Baloxavir marboxil,Roche,AI-Enriched-2026
Aloxi,Palonosetron,Roche,AI-Enriched-2026
Akynzeo,Netupitant;Palonosetron,Roche,AI-Enriched-2026
Gavreto,Pralsetinib,Roche,AI-Enriched-2026
Ronapreve,Casirivimab;Imdevimab,Roche,AI-Enriched-2026
Luvox,Fluvoxamine,AbbVie,AI-Enriched-2026
Zinforo,Ceftaroline,AbbVie,AI-Enriched-2026
Dalvance,Dalbavancin,AbbVie,AI-Enriched-2026
Kalydeco,Ivacaftor,AbbVie,AI-Enriched-2026
Orkambi,Lumacaftor;Ivacaftor,AbbVie,AI-Enriched-2026
Trikafta,Elexacaftor;Tezacaftor;Ivacaftor,AbbVie,AI-Enriched-2026
Padcev,Enfortumab vedotin,MSD,AI-Enriched-2026
GPO-Gemcitabine,Gemcitabine,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Irinotecan,Irinotecan,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Vincristine,Vincristine,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Capecitabine,Capecitabine,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Epirubicin,Epirubicin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Docetaxel,Docetaxel,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Carboplatin,Carboplatin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Lercanidipine,Lercanidipine,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Telmisartan,Telmisartan,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Valsartan,Valsartan,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Candesartan,Candesartan,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Irbesartan,Irbesartan,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Bisoprolol,Bisoprolol,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Carvedilol,Carvedilol,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Rosuvastatin,Rosuvastatin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Fenofibrate,Fenofibrate,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Ezetimibe,Ezetimibe,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Sitagliptin,Sitagliptin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Vildagliptin,Vildagliptin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Dapagliflozin,Dapagliflozin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Empagliflozin,Empagliflozin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Linagliptin,Linagliptin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Clarithromycin,Clarithromycin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Azithromycin,Azithromycin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Levofloxacin,Levofloxacin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Moxifloxacin,Moxifloxacin,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Voriconazole,Voriconazole,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Montelukast,Montelukast,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Levetiracetam,Levetiracetam,Government Pharmaceutical Organization,AI-Enriched-2026
GPO-Pregabalin,Pregabalin,Government Pharmaceutical Organization,AI-Enriched-2026
Tiffy Inhalant,Menthol;Camphor;Eucalyptus oil,Thai Nakorn Patana,AI-Enriched-2026
Bakamol Drop,Paracetamol,Thai Nakorn Patana,AI-Enriched-2026
Antacil Extra,Aluminum hydroxide;Magnesium hydroxide;Simethicone,Thai Nakorn Patana,AI-Enriched-2026
Norgyl,Metronidazole,Thai Nakorn Patana,AI-Enriched-2026
Sulidine,Pseudoephedrine;Triprolidine,Thai Nakorn Patana,AI-Enriched-2026
Decolgen Prin,Paracetamol;Phenylephrine;Chlorpheniramine,Thai Nakorn Patana,AI-Enriched-2026
Neotica Cream,Methyl salicylate;Menthol;Camphor,Thai Nakorn Patana,AI-Enriched-2026
Siamhepa,Silymarin,Siam Pharmaceutical,AI-Enriched-2026
Siamclox,Cloxacillin,Siam Pharmaceutical,AI-Enriched-2026
Siampyrin,Aspirin,Siam Pharmaceutical,AI-Enriched-2026
Siamdoxa,Doxycycline,Siam Pharmaceutical,AI-Enriched-2026
Siammycin,Tetracycline,Siam Pharmaceutical,AI-Enriched-2026
Siamlin,Lincomycin,Siam Pharmaceutical,AI-Enriched-2026
Siam-K,Phytomenadione,Siam Pharmaceutical,AI-Enriched-2026
Siamflox,Norfloxacin,Siam Pharmaceutical,AI-Enriched-2026
Siamclon,Clonazepam,Siam Pharmaceutical,AI-Enriched-2026
Siam-S,Spironolactone,Siam Pharmaceutical,AI-Enriched-2026
Siam-H,Hydrochlorothiazide,Siam Pharmaceutical,AI-Enriched-2026
Siam-V,Verapamil,Siam Pharmaceutical,AI-Enriched-2026
Siam-D,Diltiazem,Siam Pharmaceutical,AI-Enriched-2026
Siam-A,Atenolol,Siam Pharmaceutical,AI-Enriched-2026
Siam-P,Propranolol,Siam Pharmaceutical,AI-Enriched-2026
Siamzine,Cinnarizine,Siam Pharmaceutical,AI-Enriched-2026
Siamsule,Glucosamine,Siam Pharmaceutical,AI-Enriched-2026
Siam-L,Levonorgestrel,Siam Pharmaceutical,AI-Enriched-2026
Berlicit,Cimetidine,Berlin Pharmaceutical,AI-Enriched-2026
Berlin-B1,Thiamine,Berlin Pharmaceutical,AI-Enriched-2026
Berlin-B6,Pyridoxine,Berlin Pharmaceutical,AI-Enriched-2026
Berlicort,Triamcinolone,Berlin Pharmaceutical,AI-Enriched-2026
Berlimox,Amoxicillin,Berlin Pharmaceutical,AI-Enriched-2026
Bio-Clind,Clindamycin,Biolab,AI-Enriched-2026
Bio-Mycin,Lincomycin,Biolab,AI-Enriched-2026
Bio-Zepine,Carbamazepine,Biolab,AI-Enriched-2026
Bio-Spas,Hyoscine butylbromide,Biolab,AI-Enriched-2026
Bio-Nase,Fluticasone propionate,Biolab,AI-Enriched-2026
Bio-Dextro,Dextromethorphan hydrobromide,Biolab,AI-Enriched-2026
Bio-Laxan,Bisacodyl,Biolab,AI-Enriched-2026
Bio-Sal,Salbutamol,Biolab,AI-Enriched-2026
Bio-Cef,Cephalexin,Biolab,AI-Enriched-2026
Bio-Ator,Atorvastatin,Biolab,AI-Enriched-2026
Mega-EPO,Evening Primrose Oil,Mega Lifesciences,AI-Enriched-2026
Alerten,Coenzyme Q10,Mega Lifesciences,AI-Enriched-2026
Pynocare,French Maritime Pine Bark Extract,Mega Lifesciences,AI-Enriched-2026
Flexifree,Glucosamine sulfate,Mega Lifesciences,AI-Enriched-2026
R-Alpha,Alpha lipoic acid,Mega Lifesciences,AI-Enriched-2026
Mega-Gingko,Gingko biloba extract,Mega Lifesciences,AI-Enriched-2026
Mega-Vite,Multivitamins;Minerals,Mega Lifesciences,AI-Enriched-2026
Mega-D3,Cholecalciferol,Mega Lifesciences,AI-Enriched-2026
Mega-Mag,Magnesium oxide,Mega Lifesciences,AI-Enriched-2026
Mega-Lecithin,Lecithin,Mega Lifesciences,AI-Enriched-2026
TP-Hist,Chlorpheniramine maleate,T.P. Drug Laboratories,AI-Enriched-2026
TP-Chlor,Chloramphenicol,T.P. Drug Laboratories,AI-Enriched-2026
TP-Corta,Triamcinolone acetonide,T.P. Drug Laboratories,AI-Enriched-2026
TP-Gast,Almagate,T.P. Drug Laboratories,AI-Enriched-2026
TP-Lax,Bisacodyl,T.P. Drug Laboratories,AI-Enriched-2026
TP-Thiamine,Thiamine hydrochloride,T.P. Drug Laboratories,AI-Enriched-2026
TP-Cillin,Amoxicillin,T.P. Drug Laboratories,AI-Enriched-2026
TP-B-Complex,Vitamin B1;B6;B12,T.P. Drug Laboratories,AI-Enriched-2026
TP-Verm,Mebendazole,T.P. Drug Laboratories,AI-Enriched-2026
TP-Ateno,Atenolol,T.P. Drug Laboratories,AI-Enriched-2026
Toviaz,Fesoterodine,Pfizer,AI-Enriched-2026
Vyndamax,Tafamidis,Pfizer,AI-Enriched-2026
Sulperazon,Cefoperazone;Sulbactam,Pfizer,AI-Enriched-2026
Minipress,Prazosin,Pfizer,AI-Enriched-2026
Sinequan,Doxepin,Pfizer,AI-Enriched-2026
Norpace,Disopyramide,Pfizer,AI-Enriched-2026
Vydura,Rimegepant,Pfizer,AI-Enriched-2026
Celsentri,Maraviroc,Pfizer,AI-Enriched-2026
Rapamune,Sirolimus,Pfizer,AI-Enriched-2026
Torisel,Temsirolimus,Pfizer,AI-Enriched-2026
Bosulif,Bosutinib,Pfizer,AI-Enriched-2026
Oxervate,Cenegermin,Pfizer,AI-Enriched-2026
Imigran,Sumatriptan,GSK,AI-Enriched-2026
Naramig,Naratriptan,GSK,AI-Enriched-2026
Malarone,Atovaquone;Proguanil,GSK,AI-Enriched-2026
Eumovate,Clobetasone,GSK,AI-Enriched-2026
Flovent,Fluticasone propionate,GSK,AI-Enriched-2026
Volibris,Ambrisentan,GSK,AI-Enriched-2026
Arzerra,Ofatumumab,GSK,AI-Enriched-2026
Telzir,Fosamprenavir,GSK,AI-Enriched-2026
Kivexa,Abacavir;Lamivudine,GSK,AI-Enriched-2026
Zyban,Bupropion,GSK,AI-Enriched-2026
Mivacron,Mivacurium,GSK,AI-Enriched-2026
Casodex,Bicalutamide,AstraZeneca,AI-Enriched-2026
Iressa,Gefitinib,AstraZeneca,AI-Enriched-2026
Faslodex,Fulvestrant,AstraZeneca,AI-Enriched-2026
Seloken,Metoprolol,AstraZeneca,AI-Enriched-2026
Fluothane,Halothane,AstraZeneca,AI-Enriched-2026
Naropin,Ropivacaine,AstraZeneca,AI-Enriched-2026
Breztri Aerosphere,Budesonide;Glycopyrronium;Formoterol,AstraZeneca,AI-Enriched-2026
Tarceva,Erlotinib,Roche,AI-Enriched-2026
Esbriet,Pirfenidone,Roche,AI-Enriched-2026
Vesanoid,Tretinoin,Roche,AI-Enriched-2026
Leqvio,Inclisiran,Novartis,AI-Enriched-2026
Adakveo,Crizanlizumab,Novartis,AI-Enriched-2026
Beovu,Brolucizumab,Novartis,AI-Enriched-2026
Tabrecta,Capmatinib,Novartis,AI-Enriched-2026
Aimovig,Erenumab,Novartis,AI-Enriched-2026
Enerzair Breezhaler,Indacaterol;Glycopyrronium;Mometasone,Novartis,AI-Enriched-2026
Atectura Breezhaler,Indacaterol;Mometasone,Novartis,AI-Enriched-2026
Ultibro Breezhaler,Indacaterol;Glycopyrronium,Novartis,AI-Enriched-2026
Xolair,Omalizumab,Novartis,AI-Enriched-2026
Ilaris,Canakinumab,Novartis,AI-Enriched-2026
Luxturna,Voretigene neparvovec,Novartis,AI-Enriched-2026
Kymriah,Tisagenlecleucel,Novartis,AI-Enriched-2026
Soliqua,Insulin glargine;Lixisenatide,Sanofi,AI-Enriched-2026
Kevzara,Sarilumab,Sanofi,AI-Enriched-2026
Zaltrap,Ziv-aflibercept,Sanofi,AI-Enriched-2026
Mozobil,Plerixafor,Sanofi,AI-Enriched-2026
Fabrazyme,Agalsidase beta,Sanofi,AI-Enriched-2026
Myozyme,Alglucosidase alfa,Sanofi,AI-Enriched-2026
Cerezyme,Imiglucerase,Sanofi,AI-Enriched-2026
Aldurazyme,Laronidase,Sanofi,AI-Enriched-2026
Steglujan,Ertugliflozin;Sitagliptin,MSD,AI-Enriched-2026
Segluromet,Ertugliflozin;Metformin,MSD,AI-Enriched-2026
Delstrigo,Doravirine;Lamivudine;Tenofovir disoproxil,MSD,AI-Enriched-2026
Pifeltro,Doravirine,MSD,AI-Enriched-2026
Recarbrio,Imipenem;Cilastatin;Relebactam,MSD,AI-Enriched-2026
Isentress,Raltegravir,MSD,AI-Enriched-2026
Zerbaxa,Ceftolozane;Tazobactam,MSD,AI-Enriched-2026
Heptral,Ademetionine,Abbott,AI-Enriched-2026
Gopten,Trandolapril,Abbott,AI-Enriched-2026
Influvac,Influenza vaccine,Abbott,AI-Enriched-2026
Aluvia,Lopinavir;Ritonavir,Abbott,AI-Enriched-2026
Rythmol,Propafenone,Abbott,AI-Enriched-2026
Gialax,Polyethylene glycol,Abbott,AI-Enriched-2026
Kolantyl,Aluminum hydroxide;Magnesium hydroxide;Dicycloverine,Abbott,AI-Enriched-2026
Nimotop,Nimodipine,Bayer,AI-Enriched-2026
Ultravist,Iopromide,Bayer,AI-Enriched-2026
Gadovist,Gadobutrol,Bayer,AI-Enriched-2026
Magnevist,Gadopentetate,Bayer,AI-Enriched-2026
Climara,Estradiol,Bayer,AI-Enriched-2026
Betaferon,Interferon beta-1b,Bayer,AI-Enriched-2026
Kerendia,Finerenone,Bayer,AI-Enriched-2026
Kogenate,Coagulation factor VIII,Bayer,AI-Enriched-2026
Vermox,Mebendazole,J&J,AI-Enriched-2026
Sibelium,Flunarizine,J&J,AI-Enriched-2026
Edurant,Rilpivirine,J&J,AI-Enriched-2026
Symtuza,Darunavir;Cobicistat;Emtricitabine;Tenofovir alafenamide,J&J,AI-Enriched-2026
Balversa,Erdafitinib,J&J,AI-Enriched-2026
Tecvayli,Teclistamab,J&J,AI-Enriched-2026
Forteo,Teriparatide,Eli Lilly,AI-Enriched-2026
Mounjaro,Tirzepatide,Eli Lilly,AI-Enriched-2026
Retevmo,Selpercatinib,Eli Lilly,AI-Enriched-2026
Jaypirca,Pirtobrutinib,Eli Lilly,AI-Enriched-2026
Omvoh,Mirikizumab,Eli Lilly,AI-Enriched-2026
Jentadueto,Linagliptin;Metformin,Eli Lilly,AI-Enriched-2026
Glyxambi,Empagliflozin;Linagliptin,Eli Lilly,AI-Enriched-2026
Synjardy,Empagliflozin;Metformin,Eli Lilly,AI-Enriched-2026
Emgality,Galcanezumab,Eli Lilly,AI-Enriched-2026
Azee,Azithromycin,Cipla Ltd.,AI-Enriched-2026
Pantocid,Pantoprazole,Sun Pharmaceutical Industries Ltd.,AI-Enriched-2026
Nise,Nimesulide,Dr. Reddy's Laboratories,AI-Enriched-2026
Ramistar,Ramipril,Lupin Ltd.,AI-Enriched-2026
Losar,Losartan,Torrent Pharmaceuticals Ltd.,AI-Enriched-2026
Lipaglyn,Saroglitazar,Zydus Lifesciences,AI-Enriched-2026
Clavam,Amoxicillin;Clavulanic acid,Alkem Laboratories Ltd.,AI-Enriched-2026
Ascoril,Salbutamol;Bromhexine;Guaifenesin,Glenmark Pharmaceuticals,AI-Enriched-2026
Lipicard,Fenofibrate,Intas Pharmaceuticals Ltd.,AI-Enriched-2026
Amlong,Amlodipine,Micro Labs Ltd.,AI-Enriched-2026
Tadacip,Tadalafil,Ajanta Pharma Ltd.,AI-Enriched-2026
Basalog,Insulin Glargine,Biocon Ltd.,AI-Enriched-2026
Sofovir,Sofosbuvir,Hetero Healthcare,AI-Enriched-2026
Sunitix,Sunitinib,Natco Pharma Ltd.,AI-Enriched-2026
Cipcal,Calcium;Vitamin D3,Cipla Ltd.,AI-Enriched-2026
Gemer,Glimepiride;Metformin,Sun Pharmaceutical Industries Ltd.,AI-Enriched-2026
Econorm,Saccharomyces boulardii,Dr. Reddy's Laboratories,AI-Enriched-2026
Budamate,Budesonide;Formoterol,Lupin Ltd.,AI-Enriched-2026
Nikoran,Nicorandil,Torrent Pharmaceuticals Ltd.,AI-Enriched-2026
Aten,Atenolol,Zydus Lifesciences,AI-Enriched-2026
Pan-D,Pantoprazole;Domperidone,Alkem Laboratories Ltd.,AI-Enriched-2026
Zitamet,Sitagliptin;Metformin,Glenmark Pharmaceuticals,AI-Enriched-2026
Glicitrol,Gliclazide,Intas Pharmaceuticals Ltd.,AI-Enriched-2026
Tenepride,Teneligliptin,Micro Labs Ltd.,AI-Enriched-2026
Apcalis,Tadalafil,Ajanta Pharma Ltd.,AI-Enriched-2026
Canmab,Trastuzumab,Biocon Ltd.,AI-Enriched-2026
Daclahep,Daclatasvir,Hetero Healthcare,AI-Enriched-2026
Bortezom,Bortezomib,Natco Pharma Ltd.,AI-Enriched-2026
Iverfast,Ivermectin,Taj Pharmaceuticals Ltd.,AI-Enriched-2026
Vildapride,Vildagliptin,Cipla Ltd.,AI-Enriched-2026
Roferon-A,Interferon alfa-2a,Roche,AI-Enriched-2026
MabThera Hycela,Rituximab;Hyaluronidase,Roche,AI-Enriched-2026
Herceptin Hylecta,Trastuzumab;Hyaluronidase,Roche,AI-Enriched-2026
Cymevene,Ganciclovir,Roche,AI-Enriched-2026
Metalyse,Tenecteplase,Roche,AI-Enriched-2026
Vumon,Teniposide,BMS,AI-Enriched-2026
VePesid,Etoposide,BMS,AI-Enriched-2026
Ixempra,Ixabepilone,BMS,AI-Enriched-2026
Zydelig,Idelalisib,BMS,AI-Enriched-2026
Paraplatin,Carboplatin,BMS,AI-Enriched-2026
BiCNU,Carmustine,BMS,AI-Enriched-2026
Mutamycin,Mitomycin,BMS,AI-Enriched-2026
Lysodren,Mitotane,BMS,AI-Enriched-2026
Baraclude,Entecavir,BMS,AI-Enriched-2026
Daklinza,Daclatasvir,BMS,AI-Enriched-2026
Kenacort,Triamcinolone,BMS,AI-Enriched-2026
Pergoveris,Follitropin alfa;Lutropin alfa,Merck,AI-Enriched-2026
Ovidrel,Choriogonadotropin alfa,Merck,AI-Enriched-2026
Luveris,Lutropin alfa,Merck,AI-Enriched-2026
Cetrotide,Cetrorelix,Merck,AI-Enriched-2026
Thyrozol,Thiamazole,Merck,AI-Enriched-2026
Elahere,Mirvetuximab soravtansine,AbbVie,AI-Enriched-2026
Lupron Depot,Leuprorelin,AbbVie,AI-Enriched-2026
Synagis,Palivizumab,AbbVie,AI-Enriched-2026
Duodopa,Levodopa;Carbidopa,AbbVie,AI-Enriched-2026
Viekira Pak,Ombitasvir;Paritaprevir;Ritonavir;Dasabuvir,AbbVie,AI-Enriched-2026
Holkira Pak,Ombitasvir;Paritaprevir;Ritonavir;Dasabuvir,AbbVie,AI-Enriched-2026
Gengraf,Cyclosporine,AbbVie,AI-Enriched-2026
Tecentriq SC,Atezolizumab,Roche,AI-Enriched-2026
Ocrevus Zunovo,Ocrelizumab;Hyaluronidase,Roche,AI-Enriched-2026
GPO-Ivermectin,Ivermectin,GPO,AI-Enriched-2026
Favi-GPO,Favipiravir,GPO,AI-Enriched-2026
Molnu-GPO,Molnupiravir,GPO,AI-Enriched-2026
GPO-Furosemide,Furosemide,GPO,AI-Enriched-2026
GPO-Spironolactone,Spironolactone,GPO,AI-Enriched-2026
GPO-HCTZ,Hydrochlorothiazide,GPO,AI-Enriched-2026
GPO-Propranolol,Propranolol,GPO,AI-Enriched-2026
GPO-Atenolol,Atenolol,GPO,AI-Enriched-2026
GPO-Metoprolol,Metoprolol,GPO,AI-Enriched-2026
GPO-Warfarin,Warfarin,GPO,AI-Enriched-2026
GPO-Aspirin,Aspirin,GPO,AI-Enriched-2026
GPO-Glibenclamide,Glibenclamide,GPO,AI-Enriched-2026
GPO-Pioglitazone,Pioglitazone,GPO,AI-Enriched-2026
GPO-Ranitidine,Ranitidine,GPO,AI-Enriched-2026
GPO-Famotidine,Famotidine,GPO,AI-Enriched-2026
GPO-Prednisolone,Prednisolone,GPO,AI-Enriched-2026
GPO-Dexamethasone,Dexamethasone,GPO,AI-Enriched-2026
GPO-CPM,Chlorpheniramine,GPO,AI-Enriched-2026
GPO-Salbutamol,Salbutamol,GPO,AI-Enriched-2026
GPO-Theophylline,Theophylline,GPO,AI-Enriched-2026
GPO-Diclofenac,Diclofenac,GPO,AI-Enriched-2026
GPO-Ibuprofen,Ibuprofen,GPO,AI-Enriched-2026
GPO-Mefenamic,Mefenamic acid,GPO,AI-Enriched-2026
GPO-Tramadol,Tramadol,GPO,AI-Enriched-2026
GPO-Sertraline,Sertraline,GPO,AI-Enriched-2026
GPO-Fluoxetine,Fluoxetine,GPO,AI-Enriched-2026
GPO-Amitriptyline,Amitriptyline,GPO,AI-Enriched-2026
GPO-Haloperidol,Haloperidol,GPO,AI-Enriched-2026
GPO-Diazepam,Diazepam,GPO,AI-Enriched-2026
GPO-Alprazolam,Alprazolam,GPO,AI-Enriched-2026
