expected_class,drug_category_patterns,notes
rapid_acting_insulins,Insulin Analog-Rapid Acting;Insulin Aspart;Insulin Lispro;Insulin Glulisine,Rapid-acting insulin analogues for prandial control
short_acting_insulins,Regular Insulin;Short-acting Insulin;Neutral Insulin,Soluble human insulin preparations
intermediate_acting_insulins,NPH Insulin;Isophane Insulin;Intermediate-acting Insulin,Neutral Protamine Hagedorn insulin preparations
long_acting_insulins,Insulin Glargine;Insulin Detemir;Long-acting Insulin,Basal insulin analogues with 24-hour coverage
ultra_long_acting_insulins,Insulin Degludec;Ultra-long acting insulin,Basal insulin with duration exceeding 24 hours
premixed_insulins,Biphasic Insulin;Premixed Insulin Analog;Insulin 70/30;Insulin 75/25;Insulin 50/50,Fixed combinations of short/rapid and intermediate/long acting insulins
first_generation_sulfonylureas,Sulfonylurea-First Generation;Chlorpropamide;Tolbutamide;Acetohexamide,Older sulfonylurea agents with higher risk of prolonged hypoglycemia
second_generation_sulfonylureas,Sulfonylurea-Second Generation;Glibenclamide;Glipizide;Gliclazide,Standard potency sulfonylureas commonly used in clinical practice
third_generation_sulfonylureas,Sulfonylurea-Third Generation;Glimepiride,Newer sulfonylureas with once-daily dosing profiles
dpp4_inhibitor_metformin_combinations,DPP4 Inhibitor and Biguanide;Sitagliptin and Metformin;Vildagliptin and Metformin;Linagliptin and Metformin,Fixed dose combinations of a gliptin and metformin
sglt2_inhibitor_metformin_combinations,SGLT2 Inhibitor and Biguanide;Dapagliflozin and Metformin;Empagliflozin and Metformin;Canagliflozin and Metformin,Fixed dose combinations of a flozin and metformin
meglitinide_class_antidiabetics,Meglitinide;Glinide;Repaglinide;Nateglinide,Non-sulfonylurea insulin secretagogues for prandial use
glp1_insulin_fixed_combinations,GLP-1 Agonist and Insulin Combination;Liraglutide and Insulin Degludec;Lixisenatide and Insulin Glargine,Injectable combinations targeting both fasting and postprandial glucose
dual_glp1_gip_receptor_agonists,GLP-1 and GIP Receptor Agonist;Tirzepatide,Twincretin agents acting on both incretin receptors
thionamide_antithyroid_agents,Thionamide;Methimazole;Propylthiouracil;Carbimazole,Primary class of medications used to inhibit thyroid hormone synthesis
liothyronine_monotherapy,Synthetic T3;Liothyronine Sodium;Cytomel,Triiodothyronine replacement therapy
biguanide_sulfonylurea_combinations,Metformin and Sulfonylurea Combination;Metformin and Glibenclamide;Metformin and Glipizide;Metformin and Gliclazide,Standard oral combination therapy for Type 2 Diabetes
biguanide_thiazolidinedione_combinations,Metformin and Thiazolidinedione Combination;Metformin and Pioglitazone;Metformin and Rosiglitazone,Combinations focusing on insulin sensitization
dpp4_inhibitor_sglt2_inhibitor_combinations,DPP4 Inhibitor and SGLT2 Inhibitor;Sitagliptin and Ertugliflozin;Linagliptin and Empagliflozin;Saxagliptin and Dapagliflozin,Fixed combinations of two different incretin/renal pathway agents
dpp4_inhibitor_pioglitazone_combinations,DPP4 Inhibitor and Thiazolidinedione;Alogliptin and Pioglitazone,Fixed combinations of a gliptin and a glitazone
amylin_analogues,Amylinomimetic;Pramlintide,Injectable agent used as adjunct to insulin therapy
desiccated_thyroid_extract,Thyroid Extract;Armor Thyroid;Desiccated Thyroid;Thyroid Porcine,Natural thyroid hormone preparations derived from animal sources
thyroid_hormone_liotrix,Liotrix;T3 and T4 Synthetic Combination;Thyrolar,Synthetic combination of T4 and T3 in a fixed 4:1 ratio
iodine_containing_antithyroid_preparations,Iodine Solution;Lugol's Solution;Potassium Iodide;Iodide,Used for acute management of hyperthyroidism or pre-operative preparation
dopamine_agonist_metabolic_use,Dopamine Agonist for Type 2 Diabetes;Bromocriptine Mesylate;Cycloset,Specific formulation of bromocriptine used for glycemic control
bile_acid_sequestrant_metabolic_use,Bile Acid Sequestrant for Diabetes;Colesevelam,Lipid-lowering agent indicated for glycemic control in DM2
thiazolidinedione_sulfonylurea_combinations,Thiazolidinedione and Sulfonylurea Combination;Pioglitazone and Glimepiride,Dual secretagogue and sensitizer fixed combinations
glp1_metformin_combinations,GLP-1 Agonist and Biguanide;Exenatide and Metformin,Fixed combinations of GLP-1 analogues and metformin
aldose_reductase_inhibitors,Aldose Reductase Inhibitor;Epalrestat,Metabolic agents used to treat diabetic polyneuropathy
sglt2_inhibitor_dpp4_metformin_triple_therapy,SGLT2-DPP4-Metformin Triple Therapy;Empagliflozin/Linagliptin/Metformin;Trijardy,Three-agent fixed dose combinations for metabolic management
ppi_p_cab_class,Potassium-competitive acid blocker;PCAB;Vonoprazan,Novel acid-suppressive agents like vonoprazan
h2_receptor_antagonists_plain,H2-Receptor Antagonist;Ranitidine;Famotidine;Cimetidine,Histamine H2-receptor blockers for acid reduction
antiemetic_serotonin_5ht3_antagonists,5-HT3 Antagonist;Ondansetron;Granisetron;Palonosetron,Serotonin blockers for chemotherapy-induced or post-op nausea
antiemetic_neurokinin_1_antagonists,NK1 Receptor Antagonist;Aprepitant;Fosaprepitant;Rolapitant,Substance P/neurokinin 1 receptor antagonists for nausea
antiemetic_phenothiazines,Phenothiazine Antiemetic;Prochlorperazine;Promethazine,Dopamine antagonists used for severe nausea/vomiting
bulk_forming_laxatives,Bulk-forming Laxative;Psyllium;Ispaghula;Methylcellulose,Fiber-based laxatives
stimulant_laxative_agents,Stimulant Laxative;Bisacodyl;Senna;Sennosides,Agents that increase intestinal motility via nerve stimulation
osmotic_laxative_saline,Saline Laxative;Magnesium Hydroxide;Milk of Magnesia;Magnesium Citrate,Saline-based hyperosmotic agents
guanylate_cyclase_c_agonists,Guanylate Cyclase-C Agonist;Linaclotide;Plecanatide,Secretagogues for chronic idiopathic constipation or IBS-C
peripheral_mu_opioid_receptor_antagonists,PAMORA;Methylnaltrexone;Naloxegol;Naldemedine,Opioid-induced constipation treatments that do not cross BBB
selective_5ht4_receptor_agonists,5-HT4 Receptor Agonist;Prucalopride;Tegaserod,Serotonergic prokinetics for chronic constipation
antidiarrheal_enkephalinase_inhibitors,Enkephalinase Inhibitor;Racecadotril,Antisecretory antidiarrheal agent
ics_laba_fixed_dose_combinations,ICS-LABA Combination;Fluticasone/Salmeterol;Budesonide/Formoterol,Fixed dose inhalers for asthma and COPD maintenance
lama_laba_fixed_dose_combinations,LAMA-LABA Combination;Indacaterol/Glycopyrronium;Tiotropium/Olodaterol,Dual bronchodilator combinations for COPD
ics_lama_laba_triple_fixed_combinations,ICS-LAMA-LABA Triple Therapy;Fluticasone/Umeclidinium/Vilanterol;Trelegy,Three-in-one inhalers for advanced airway disease
short_acting_muscarinic_antagonists,SAMA;Ipratropium Bromide,Short-acting anticholinergic bronchodilators
long_acting_muscarinic_antagonists,LAMA;Tiotropium;Umeclidinium;Aclidinium,Maintenance anticholinergic bronchodilators
second_generation_h1_antagonists_non_sedating,Second Generation Antihistamine;Loratadine;Cetirizine,Peripherally selective H1 blockers with minimal sedation
third_generation_h1_antagonists,Third Generation Antihistamine;Fexofenadine;Desloratadine;Levocetirizine,Active metabolites or isomers of 2nd gen antihistamines
alkylamine_antihistamines,Alkylamine;Chlorpheniramine;Brompheniramine,Common first-generation sedating antihistamines
ethanolamine_antihistamines,Ethanolamine;Diphenhydramine;Dimenhydrinate,First-generation antihistamines often used for sleep or motion sickness
piperazine_antihistamines,Piperazine Antihistamine;Hydroxyzine;Meclizine,Antihistamines used for pruritus or vertigo
mucolytic_cysteine_derivatives,Cysteine-derived Mucolytic;Acetylcysteine;Carbocisteine,Agents that break disulfide bonds in mucus
expectorant_glyceryl_ethers,Glyceryl Ether Expectorant;Guaifenesin,Agents that increase volume and reduce viscosity of secretions
saba_sama_combination_inhalers,SABA-SAMA Combination;Salbutamol/Ipratropium;Combivent,Combined short-acting bronchodilators for acute relief
inhaled_mast_cell_stabilizers,Mast Cell Stabilizer-Inhalation;Sodium Cromoglicate;Nedocromil,Prevents release of inflammatory mediators in the lung
leukotriene_modifiers_ltra,LTRA;Montelukast;Zafirlukast,Oral asthma/rhinitis therapy targeting leukotriene receptors
anti_il5_monoclonal_antibodies,Anti-IL5 Biologic;Mepolizumab;Benralizumab,Biologic therapy for eosinophilic asthma
phosphodiesterase_4_inhibitors_respiratory,PDE4 Inhibitor-Respiratory;Roflumilast,Oral anti-inflammatory for severe COPD
gi_barrier_agents_sucralfate,Mucosal Protective Agent;Sucralfate,Local protective barrier for gastric ulcers
ace_inhibitors_sulfhydryl_containing,ACE Inhibitor;Captopril,ACE inhibitors containing a sulfhydryl group
ace_inhibitors_dicarboxylate_containing,ACE Inhibitor;Enalapril;Lisinopril;Ramipril;Perindopril,ACE inhibitors containing a dicarboxylate group
ace_inhibitors_phosphonate_containing,ACE Inhibitor;Fosinopril,ACE inhibitors containing a phosphonate group
arb_tetrazole_group,Angiotensin II Receptor Blocker;Losartan;Valsartan;Irbesartan;Candesartan;Olmesartan,ARBs with a tetrazole ring structure
arb_non_tetrazole_group,Angiotensin II Receptor Blocker;Telmisartan;Eprosartan;Azilsartan,ARBs without a tetrazole ring structure
beta_blockers_non_selective_no_isa,"Beta-Blocker, Non-Selective;Propranolol;Nadolol;Timolol",Non-selective beta blockers without intrinsic sympathomimetic activity
beta_blockers_selective_no_isa,"Beta-Blocker, Beta-1 Selective;Atenolol;Metoprolol;Bisoprolol",Beta-1 selective blockers without intrinsic sympathomimetic activity
beta_blockers_with_alpha_blocking_activity,Beta-Blocker;Alpha-Blocking;Carvedilol;Labetalol,Beta blockers that also exhibit alpha-1 receptor antagonism
ccb_dihydropyridine_first_generation_nifedipine,"Calcium Channel Blocker, Dihydropyridine;Nifedipine IR",Short-acting first generation dihydropyridine CCBs
ccb_dihydropyridine_second_generation_felodipine,"Calcium Channel Blocker, Dihydropyridine;Felodipine;Isradipine;Nicardipine",Second generation dihydropyridine CCBs with improved selectivity
ccb_dihydropyridine_third_generation_amlodipine,"Calcium Channel Blocker, Dihydropyridine;Amlodipine;Lercanidipine",Third generation long-acting dihydropyridine CCBs
ccb_phenylalkylamine_structural_class,"Calcium Channel Blocker, Non-Dihydropyridine;Verapamil",CCBs belonging to the phenylalkylamine chemical class
ccb_benzothiazepine_structural_class,"Calcium Channel Blocker, Non-Dihydropyridine;Diltiazem",CCBs belonging to the benzothiazepine chemical class
loop_diuretics_sulfonamide_type,Loop Diuretic;Furosemide;Bumetanide;Torsemide,Loop diuretics with a sulfonamide structure
loop_diuretics_phenoxyacetic_acid_type,Loop Diuretic;Ethacrynic Acid,Loop diuretics derived from phenoxyacetic acid
diuretics_potassium_sparing_triamterene_type,Potassium-Sparing Diuretic;Triamterene,Pteridine derivative potassium-sparing diuretics
diuretics_potassium_sparing_amiloride_type,Potassium-Sparing Diuretic;Amiloride,Pyrazine derivative potassium-sparing diuretics
diuretics_potassium_sparing_spironolactone_type,Potassium-Sparing Diuretic;Aldosterone Antagonist;Spironolactone;Canrenone,Steroidal aldosterone receptor antagonists
thiazide_diuretics_short_acting_duration,Thiazide Diuretic;Chlorothiazide;Hydrochlorothiazide,Thiazide diuretics with relatively short duration of action
thiazide_diuretics_long_acting_duration,Thiazide Diuretic;Methyclothiazide;Polythiazide,Thiazide diuretics with prolonged duration of action
statins_fungal_metabolite_derivatives,HMG-CoA Reductase Inhibitor;Simvastatin;Lovastatin;Pravastatin,Statins derived from or related to fungal metabolites
statins_synthetic_enantiomer_derivatives,HMG-CoA Reductase Inhibitor;Atorvastatin;Rosuvastatin;Fluvastatin;Pitavastatin,Fully synthetic HMG-CoA reductase inhibitors
statins_lipophilic_partition_category,Statin;Lipophilic;Atorvastatin;Simvastatin;Lovastatin;Fluvastatin,Statins categorized by high lipophilicity
statins_hydrophilic_partition_category,Statin;Hydrophilic;Rosuvastatin;Pravastatin,Statins categorized by high hydrophilicity
antiplatelets_irreversible_cox_inhibitors,Antiplatelet;Cyclooxygenase-1 Inhibitor;Aspirin,Antiplatelets that irreversibly inhibit COX-1
antiplatelets_irreversible_adp_inhibitors,Antiplatelet;P2Y12 Inhibitor;Thienopyridine;Clopidogrel;Prasugrel,Antiplatelets that irreversibly inhibit the ADP receptor
antiplatelets_reversible_adp_inhibitors,Antiplatelet;P2Y12 Inhibitor;Non-Thienopyridine;Ticagrelor;Cangrelor,Antiplatelets that reversibly inhibit the ADP receptor
antiplatelets_phosphodiesterase_inhibitor_class,Antiplatelet;PDE Inhibitor;Cilostazol;Dipyridamole,Antiplatelets acting via phosphodiesterase inhibition
antiplatelets_ii_b_iii_a_complex_blockers,Antiplatelet;Glycoprotein IIb/IIIa Inhibitor;Abciximab;Tirofiban,Intravenous inhibitors of the GP IIb/IIIa receptor complex
antiplatelets_par_1_selective_antagonists,Antiplatelet;Protease-Activated Receptor-1 Antagonist;Vorapaxar,Antiplatelets that inhibit thrombin-induced platelet aggregation
penicillins_aminopenicillins_subclass,Aminopenicillin;Amoxicillin;Ampicillin,Broad-spectrum penicillins for common enteric and respiratory bacterial infections
penicillins_carboxypenicillins_subclass,Carboxypenicillin;Ticarcillin,Antipseudomonal penicillins targeting gram-negative organisms
penicillins_bl_inhibitor_combos,Penicillin/Beta-lactamase Inhibitor;Amoxicillin/Clavulanate;Ampicillin/Sulbactam,Penicillins combined with inhibitors to resist beta-lactamase degradation
penicillins_repository_injectables,Penicillin G Benzathine;Penicillin G Procaine;Long-acting Penicillin,Injectable penicillin formulations designed for slow release and prolonged action
cephalosporins_bl_inhibitor_combos,Cephalosporin/Beta-lactamase Inhibitor;Ceftolozane/Tazobactam;Ceftazidime/Avibactam,Advanced cephalosporin combinations for multi-drug resistant infections
cephalosporins_siderophore_class,Siderophore Cephalosporin;Cefiderocol,Novel cephalosporins utilizing bacterial iron transport systems for entry
macrolides_ketolides,Ketolide;Telithromycin,Semisynthetic macrolide derivatives for resistant respiratory pathogens
macrolides_fidaxomicin_class,Macrocyclic Antibiotic;Fidaxomicin,Narrow-spectrum macrocyclic macrolide specifically for Clostridioides difficile
fluoroquinolones_first_gen,Quinolone;Nalidixic Acid;Oxolinic Acid,Early non-fluorinated quinolones primarily used for uncomplicated urinary tract infections
fluoroquinolones_delafloxacin_class,Fluoroquinolone;Delafloxacin,Anionic fluoroquinolone with activity against MRSA and in acidic environments
antifungals_systemic_echinocandin_agents,Echinocandin;Caspofungin;Micafungin;Anidulafungin,Systemic glucan synthesis inhibitors for invasive candidiasis and aspergillosis
antifungals_second_generation_triazoles,Second Generation Triazole;Voriconazole;Posaconazole;Isavuconazole,Extended-spectrum azoles for treatment of invasive mold infections
antifungals_flucytosine_class,Pyrimidine Analog;Flucytosine,Systemic antimetabolite antifungal often used in combination for cryptococcosis
antifungals_griseofulvin_class,Griseofulvin,"Oral mitotic inhibitor for fungal infections of the skin, hair, and nails"
antifungals_topical_imidazoles_only,Topical Imidazole;Clotrimazole;Miconazole;Sertaconazole;Econazole,Topical azole antifungals for localized dermatologic fungal infections
antifungals_topical_polyenes_only,Topical Polyene;Nystatin,Topical polyene antibiotics for cutaneous or oral candidiasis
antifungals_topical_allylamines_only,Topical Allylamine;Terbinafine;Naftifine,Topical squalene epoxidase inhibitors for tinea and other fungal skin infections
antivirals_entry_fusion_inhibitors,HIV Fusion Inhibitor;Enfuvirtide,Antiretrovirals that block the fusion of the viral envelope with the cell membrane
antivirals_ccr5_antagonists,CCR5 Antagonist;Maraviroc,HIV entry inhibitors that target the CCR5 coreceptor on host cells
antivirals_post_attachment_inhibitors,Post-attachment Inhibitor;Ibalizumab,CD4-directed monoclonal antibodies that prevent HIV viral entry
antivirals_hcv_ns3_4a_protease_inhibitors_specific,NS3/4A Protease Inhibitor;Simeprevir;Paritaprevir;Grazoprevir;Voxilaprevir,Direct-acting antivirals targeting the NS3/4A serine protease of Hepatitis C
antivirals_influenza_endonuclease_inhibitors,Endonuclease Inhibitor;Baloxavir Marboxil,Antiviral that inhibits cap-dependent endonuclease in influenza viruses
antivirals_adamantane_class,M2 Channel Blocker;Amantadine;Rimantadine,Symmetry-directed inhibitors of the M2 ion channel in Influenza A viruses
antivirals_pegylated_interferons,Peginterferon Alfa-2a;Peginterferon Alfa-2b,Long-acting biological response modifiers for chronic viral hepatitis B and C
antivirals_hiv_nucleoside_analogue_class,Nucleoside Reverse Transcriptase Inhibitor;Zidovudine;Abacavir;Lamivudine;Stavudine,Individual nucleoside/nucleotide reverse transcriptase inhibitor agents for HIV
antivirals_hiv_non_nucleoside_analogue_class,Non-Nucleoside Reverse Transcriptase Inhibitor;Efavirenz;Nevirapine;Rilpivirine;Etravirine,Individual non-nucleoside reverse transcriptase inhibitor agents for HIV
antivirals_hsv_vzv_nucleoside_analogs,Herpes DNA Polymerase Inhibitor;Acyclovir;Valacyclovir;Famciclovir,Guanosine analogs used for herpes simplex and varicella-zoster infections
antivirals_cmv_terminase_inhibitors,CMV Terminase Inhibitor;Letermovir,Antivirals targeting the CMV DNA terminase complex for prophylaxis
antivirals_hiv_strand_transfer_inhibitors,Integrase Strand Transfer Inhibitor;Dolutegravir;Raltegravir;Bictegravir;Elvitegravir,Antiretrovirals that prevent the integration of viral DNA into the host genome
antivirals_hcv_sofosbuvir_velpatasvir_type,Pan-genotypic HCV Combination;Sofosbuvir/Velpatasvir;Glecaprevir/Pibrentasvir,Direct-acting antiviral combination regimens effective against all HCV genotypes
ssri_fluoxetine_pattern,Antidepressant-SSRI-Fluoxetine;Fluoxetine;SSRI-Fluoxetine,Fluoxetine specific structural subclass of SSRIs
ssri_sertraline_pattern,Antidepressant-SSRI-Sertraline;Sertraline;SSRI-Sertraline,Sertraline specific structural subclass of SSRIs
ssri_paroxetine_pattern,Antidepressant-SSRI-Paroxetine;Paroxetine;SSRI-Paroxetine,Paroxetine specific structural subclass of SSRIs
snri_venlafaxine_pattern,Antidepressant-SNRI-Venlafaxine;Venlafaxine;SNRI-Venlafaxine,Venlafaxine specific structural subclass of SNRIs
snri_duloxetine_pattern,Antidepressant-SNRI-Duloxetine;Duloxetine;SNRI-Duloxetine,Duloxetine specific structural subclass of SNRIs
tca_dibenzocycloheptadiene_type,TCA-Dibenzocycloheptadiene;Amitriptyline;Nortriptyline,Tricyclic antidepressants with a dibenzocycloheptadiene core
tca_dibenzazepine_type,TCA-Dibenzazepine;Imipramine;Clomipramine,Tricyclic antidepressants with a dibenzazepine core
tca_dibenzoxepin_type,TCA-Dibenzoxepin;Doxepin,Tricyclic antidepressants with a dibenzoxepin core
antipsychotics_benzamide_type,Antipsychotic-Benzamide;Sulpiride;Amisulpride,Substituted benzamide class of antipsychotics
antipsychotics_diphenylbutylpiperidine_type,Antipsychotic-Diphenylbutylpiperidine;Pimozide,Diphenylbutylpiperidine class of antipsychotics
antipsychotics_thienobenzodiazepine_type,Antipsychotic-Thienobenzodiazepine;Olanzapine,Thienobenzodiazepine structural class of atypical antipsychotics
antipsychotics_dibenzothiazepine_type,Antipsychotic-Dibenzothiazepine;Quetiapine,Dibenzothiazepine structural class of atypical antipsychotics
antipsychotics_benzisoxazole_type,Antipsychotic-Benzisoxazole;Risperidone;Paliperidone,Benzisoxazole structural class of atypical antipsychotics
antipsychotics_dihydroindolone_type,Antipsychotic-Dihydroindolone;Ziprasidone,Dihydroindolone structural class of atypical antipsychotics
antipsychotics_quinolinone_type,Antipsychotic-Quinolinone;Aripiprazole,Quinolinone structural class of atypical antipsychotics
benzodiazepines_triazolo_type,Benzodiazepine-Triazolobenzodiazepine;Alprazolam;Triazolam,Benzodiazepines containing a fused triazole ring
benzodiazepines_imidazo_type,Benzodiazepine-Imidazobenzodiazepine;Midazolam,Benzodiazepines containing a fused imidazole ring
benzodiazepines_nitro_type,Benzodiazepine-Nitro;Clonazepam;Nitrazepam;Flunitrazepam,Benzodiazepines containing a nitro group
anticonvulsants_barbiturate_pattern,Anticonvulsant-Barbiturate;Phenobarbital;Primidone,Barbiturate class used for seizure control
anticonvulsants_topiramate_pattern,Anticonvulsant-Sulfamate;Topiramate,Sulfamate-substituted monosaccharide anticonvulsant
anticonvulsants_levetiracetam_pattern,Anticonvulsant-Pyrrolidine;Levetiracetam,Pyrrolidine derivative anticonvulsant class
anticonvulsants_zonisamide_pattern,Anticonvulsant-Isoxazole;Zonisamide,Benzisoxazole derivative anticonvulsant class
anticonvulsants_lacosamide_pattern,Anticonvulsant-Aminoacid;Lacosamide,Functionalized amino acid class of anticonvulsants
anticonvulsants_perampanel_pattern,Anticonvulsant-AMPA-Antagonist;Perampanel,Non-competitive AMPA receptor antagonist for epilepsy
opioids_morphine_phenanthrene_type,Opioid-Phenanthrene-Morphine;Morphine,Natural phenanthrene alkaloid opioid - morphine specific
opioids_codeine_phenanthrene_type,Opioid-Phenanthrene-Codeine;Codeine,Natural phenanthrene alkaloid opioid - codeine specific
opioids_fentanyl_piperidine_type,Opioid-Phenylpiperidine;Fentanyl,Synthetic phenylpiperidine class of potent opioids
opioids_methadone_propylamine_type,Opioid-Diphenylpropylamine;Methadone,Synthetic diphenylpropylamine class of opioids
opioids_tramadol_cyclohexanol_type,Opioid-Cyclohexanol;Tramadol,Synthetic cyclohexanol derivative opioid with dual action
opioids_pethidine_piperidine_type,Opioid-Piperidine-Pethidine;Pethidine;Meperidine,Phenylpiperidine derivative opioid - pethidine specific
inhaled_insulins,Inhaled Insulin;Afrezza,Rapid-acting insulin administered via inhalation
insulin_glulisine_monotherapy,Insulin-Glulisine;Apidra,Rapid-acting insulin analog glulisine
insulin_lispro_monotherapy,Insulin-Lispro;Humalog,Rapid-acting insulin analog lispro
insulin_aspart_monotherapy,Insulin-Aspart;Novolog;NovoRapid,Rapid-acting insulin analog aspart
insulin_glargine_monotherapy,Insulin-Glargine;Lantus;Toujeo;Basaglar,Long-acting basal insulin analog glargine
insulin_detemir_monotherapy,Insulin-Detemir;Levemir,Long-acting basal insulin analog detemir
insulin_degludec_monotherapy,Insulin-Degludec;Tresiba,Ultra-long-acting basal insulin analog degludec
prandial_insulin_class,Insulin-Rapid Acting;Insulin-Short Acting;Prandial Insulin,Insulins typically used for mealtime bolus coverage
basal_insulin_class,Insulin-Intermediate Acting;Insulin-Long Acting;Insulin-Ultra Long Acting;Basal Insulin,Insulins providing background glucose control
metformin_er_formulations,Metformin-Extended Release;Metformin XR;Metformin SR,Biguanide in extended or sustained release form
metformin_ir_formulations,Metformin-Immediate Release;Metformin IR,Biguanide in immediate release form
glimepiride_specific_agents,Sulfonylurea-Glimepiride;Glimepiride,Third generation sulfonylurea specifically glimepiride
glipizide_specific_agents,Sulfonylurea-Glipizide;Glipizide,Second generation sulfonylurea specifically glipizide
glibenclamide_specific_agents,Sulfonylurea-Glyburide;Sulfonylurea-Glibenclamide;Glibenclamide,Second generation sulfonylurea specifically glibenclamide
nateglinide_specific_agents,Meglitinide-Nateglinide;Nateglinide,Phenylalanine derivative meglitinide
repaglinide_specific_agents,Meglitinide-Repaglinide;Repaglinide,Carbamoylmethyl benzoic acid derivative meglitinide
sitagliptin_specific_agents,DPP4 Inhibitor-Sitagliptin;Sitagliptin,DPP-4 inhibitor sitagliptin plain
vildagliptin_specific_agents,DPP4 Inhibitor-Vildagliptin;Vildagliptin,DPP-4 inhibitor vildagliptin plain
saxagliptin_specific_agents,DPP4 Inhibitor-Saxagliptin;Saxagliptin,DPP-4 inhibitor saxagliptin plain
linagliptin_specific_agents,DPP4 Inhibitor-Linagliptin;Linagliptin,DPP-4 inhibitor linagliptin plain
alogliptin_specific_agents,DPP4 Inhibitor-Alogliptin;Alogliptin,DPP-4 inhibitor alogliptin plain
empagliflozin_specific_agents,SGLT2 Inhibitor-Empagliflozin;Empagliflozin,SGLT2 inhibitor empagliflozin plain
dapagliflozin_specific_agents,SGLT2 Inhibitor-Dapagliflozin;Dapagliflozin,SGLT2 inhibitor dapagliflozin plain
canagliflozin_specific_agents,SGLT2 Inhibitor-Canagliflozin;Canagliflozin,SGLT2 inhibitor canagliflozin plain
ertugliflozin_specific_agents,SGLT2 Inhibitor-Ertugliflozin;Ertugliflozin,SGLT2 inhibitor ertugliflozin plain
methimazole_preparations,Antithyroid-Methimazole;Methimazole,Thionamide antithyroid drug methimazole
ptu_preparations,Antithyroid-Propylthiouracil;PTU;Propylthiouracil,Thionamide antithyroid drug propylthiouracil
carbimazole_preparations,Antithyroid-Carbimazole;Carbimazole,Thionamide antithyroid drug carbimazole
synthetic_t4_preparations,Thyroid-Levothyroxine;L-Thyroxine;T4,Synthetic thyroxine (T4) hormone
synthetic_t3_preparations,Thyroid-Liothyronine;Cytomel;T3,Synthetic triiodothyronine (T3) hormone
antihistamine_h1_sedating_first_gen,Antihistamine - H1 Antagonist (1st Generation);Chlorpheniramine;Hydroxyzine;Diphenhydramine;Cyproheptadine,First generation H1 antihistamines with significant sedative and anticholinergic effects.
antihistamine_h1_nonsedating_second_gen,Antihistamine - H1 Antagonist (2nd Generation);Loratadine;Cetirizine;Azelastine,Second generation H1 antihistamines with minimal blood-brain barrier penetration.
antihistamine_h1_nonsedating_third_gen,Antihistamine - H1 Antagonist (3rd Generation);Fexofenadine;Desloratadine;Levocetirizine,Active metabolites or enantiomers of second generation antihistamines with improved safety profiles.
ppi_omeprazole_derivatives,Proton Pump Inhibitor: Omeprazole;Omeprazole;Losec;Miracid,Omeprazole based acid suppressants.
ppi_lansoprazole_derivatives,Proton Pump Inhibitor: Lansoprazole;Lansoprazole;Prevacid,Lansoprazole based acid suppressants.
ppi_pantoprazole_derivatives,Proton Pump Inhibitor: Pantoprazole;Pantoprazole;Controloc,Pantoprazole based acid suppressants.
ppi_rabeprazole_derivatives,Proton Pump Inhibitor: Rabeprazole;Rabeprazole;Pariet,Rabeprazole based acid suppressants.
ppi_esomeprazole_derivatives,Proton Pump Inhibitor: Esomeprazole;Esomeprazole;Nexium,Esomeprazole based acid suppressants (S-isomer of omeprazole).
antiemetic_benzamide_derivatives,Antiemetic - Benzamide;Metoclopramide;Itopride,Benzamide derivatives used for nausea and prokinetic action.
antiemetic_butyrophenone_derivatives,Antiemetic - Butyrophenone;Haloperidol;Droperidol,Butyrophenones used as potent central antiemetics.
antiemetic_antihistamine_type,Antiemetic - H1 Antagonist;Dimenhydrinate;Meclizine,Antihistamines specifically indicated for motion sickness and nausea.
saba_inhalation_solutions,SABA - Nebulizer Solution;Salbutamol Nebule;Terbutaline Solution;Ventolin Nebules,Short-acting beta2-agonists in liquid form for nebulization.
saba_metered_dose_inhalers,SABA - MDI;Salbutamol MDI;Ventolin Evohaler;Bricanyl Turbuhaler,Short-acting beta2-agonists in metered-dose or dry powder inhalers.
sama_inhalation_monotherapy,Anticholinergic - SAMA;Ipratropium;Atrovent,Short-acting muscarinic antagonists used alone for bronchodilation.
laba_inhalation_monotherapy,Bronchodilator - LABA (Monotherapy);Salmeterol;Indacaterol;Formoterol,Long-acting beta2-agonists without concurrent corticosteroid in the same device.
lama_inhalation_monotherapy,Anticholinergic - LAMA (Monotherapy);Tiotropium;Spiriva;Glycopyrronium;Umeclidinium,Long-acting muscarinic antagonists used as primary maintenance for COPD.
ics_budesonide_inhalants,Inhaled Corticosteroid - Budesonide;Pulmicort;Budesonide,Budesonide preparations for inhalation.
ics_fluticasone_inhalants,Inhaled Corticosteroid - Fluticasone;Flixotide;Fluticasone propionate,Fluticasone preparations for inhalation.
ics_mometasone_inhalants,Inhaled Corticosteroid - Mometasone;Asmanex;Mometasone furoate,Mometasone preparations for inhalation.
ics_beclomethasone_inhalants,Inhaled Corticosteroid - Beclomethasone;Becloforte;Clenil,Beclomethasone preparations for inhalation.
ics_ciclesonide_inhalants,Inhaled Corticosteroid - Ciclesonide;Alvesco,Ciclesonide preparations for inhalation.
methylxanthine_derivatives_theophylline,Xanthine derivative - Theophylline;Theophylline SR;Quibron,Oral theophylline preparations for chronic asthma/COPD management.
methylxanthine_derivatives_aminophylline,Xanthine derivative - Aminophylline;Aminophylline injection,Injectable aminophylline for acute bronchospasm.
