icd_code,diagnosis_name,procedure_type,min_days,max_days,typical_days,notes,source
J90,"Pleural effusion, NEC",OutPatient,0,0,0,Follow-up imaging to monitor for recurrence of fluid after previous drainage.,AI-Enriched-WHO-ThaiDRG
J93.11,Primary spontaneous pneumothorax,OutPatient,0,0,0,Removal of small chest tubes or review of serial X-rays for outpatient management.,AI-Enriched-WHO-ThaiDRG
J91.0,Malignant pleural effusion,OutPatient,0,0,0,Palliative maintenance of indwelling tunneled pleural catheters.,AI-Enriched-WHO-ThaiDRG
J15.0,Klebsiella pneumoniae pneumonia,InPatient,7,14,10,Sputum culture confirmation; requires targeted IV antibiotics due to resistance risks.,AI-Enriched-WHO-ThaiDRG
J15.1,Pseudomonas pneumonia,InPatient,10,21,14,High risk of multi-drug resistance; extended antibiotic course and frequent monitoring.,AI-Enriched-WHO-ThaiDRG
J15.3,Staphylococcal pneumonia,InPatient,7,14,10,Risk of lung abscess formation or empyema; serial chest X-rays recommended.,AI-Enriched-WHO-ThaiDRG
J15.4,Streptococcal pneumonia; group B,InPatient,5,12,7,Common in neonates or elderly; monitoring for sepsis and respiratory distress.,AI-Enriched-WHO-ThaiDRG
J15.7,Mycoplasma pneumoniae pneumonia,InPatient,3,10,5,Requires admission if oxygen saturation is low or significant respiratory distress exists.,AI-Enriched-WHO-ThaiDRG
J15.8,Other bacterial pneumonia,InPatient,5,14,8,Pathogen identified via culture; empirical treatment transitioned to targeted therapy.,AI-Enriched-WHO-ThaiDRG
J16.0,Chlamydial pneumonia,InPatient,5,12,7,Requires macrolide therapy; focus on assessment of systemic symptoms and oxygenation.,AI-Enriched-WHO-ThaiDRG
J17.0,Pneumonia in bacterial diseases classified elsewhere,InPatient,7,18,12,Pneumonia as a secondary complication; requires treatment of the primary bacterial infection.,AI-Enriched-WHO-ThaiDRG
A40.0,Sepsis due to streptococcus; group A,InPatient,7,21,12,Aggressive Group A Strep; monitoring for necrotizing fasciitis or toxic shock syndrome.,AI-Enriched-WHO-ThaiDRG
A40.1,Sepsis due to streptococcus; group B,InPatient,10,28,14,Significant risk in newborns; requires prolonged intensive IV antimicrobial therapy.,AI-Enriched-WHO-ThaiDRG
A40.8,Other streptococcal sepsis,InPatient,7,14,10,Sepsis caused by specific streptococcal species identified via blood culture.,AI-Enriched-WHO-ThaiDRG
A40.9,Streptococcal sepsis; unspecified,InPatient,5,14,9,Empirical antibiotic treatment adjusted upon sensitivity results from the laboratory.,AI-Enriched-WHO-ThaiDRG
A41.1,Sepsis due to other specified staphylococcus,InPatient,7,21,12,Coagulase-negative staph sepsis; evaluate for infected indwelling devices or lines.,AI-Enriched-WHO-ThaiDRG
A41.2,Sepsis due to unspecified staphylococcus,InPatient,7,21,12,Potential contamination versus true infection; clinical correlation and repeat cultures needed.,AI-Enriched-WHO-ThaiDRG
A41.3,Sepsis due to Haemophilus influenzae,InPatient,7,14,10,Vaccine-preventable pathogen; evaluate for meningitis as a concurrent complication.,AI-Enriched-WHO-ThaiDRG
A41.4,Sepsis due to anaerobes,InPatient,10,21,14,Often secondary to intra-abdominal or pelvic source; requires drainage if abscess is found.,AI-Enriched-WHO-ThaiDRG
A41.50,Sepsis due to Gram-negative organism; unspecified,InPatient,7,18,10,Broad-spectrum coverage until specific gram-negative organism sensitivity is available.,AI-Enriched-WHO-ThaiDRG
A41.51,Sepsis due to Escherichia coli,InPatient,5,14,8,Common urinary source; monitor for renal failure and septic shock parameters.,AI-Enriched-WHO-ThaiDRG
B50.0,Plasmodium falciparum malaria with cerebral complications,InPatient,7,14,10,Severe malaria; requires ICU monitoring for neurological status and parasite clearance.,AI-Enriched-WHO-ThaiDRG
B51.0,Plasmodium vivax malaria with rupture of spleen,InPatient,7,14,10,Surgical consultation required for splenic rupture; supportive care with blood transfusion.,AI-Enriched-WHO-ThaiDRG
B52.0,Plasmodium malariae malaria with nephropathy,InPatient,7,21,12,Monitor renal function; management of quartan malarial nephrosis and edema.,AI-Enriched-WHO-ThaiDRG
B54,Unspecified malaria,InPatient,3,7,5,Uncomplicated malaria requiring observed therapy and daily parasite count monitoring.,AI-Enriched-WHO-ThaiDRG
A15.0,Tuberculosis of lung; confirmed by sputum microscopy,InPatient,7,14,10,Initial phase of treatment and airborne isolation until infectivity decreases.,AI-Enriched-WHO-ThaiDRG
A17.0,Tuberculous meningitis,InPatient,14,42,21,Prolonged therapy; monitor for intracranial pressure elevation and hydrocephalus.,AI-Enriched-WHO-ThaiDRG
G00.2,Streptococcal meningitis,InPatient,10,21,14,Daily neurologic checks; serial lumbar punctures if poor clinical response.,AI-Enriched-WHO-ThaiDRG
G00.3,Staphylococcal meningitis,InPatient,14,28,21,High risk of brain abscess; long-term intravenous antibiotics and neuroimaging follow-up.,AI-Enriched-WHO-ThaiDRG
G03.0,Nonpyogenic meningitis,InPatient,5,14,7,Exclusion of bacterial cause; supportive care and monitoring for neurological deficits.,AI-Enriched-WHO-ThaiDRG
L03.11,Cellulitis of right upper limb,InPatient,3,7,5,Elevation and IV antibiotics; monitor for compartment syndrome and necrotizing change.,AI-Enriched-WHO-ThaiDRG
L03.12,Cellulitis of left upper limb,InPatient,3,7,5,Inpatient stay required for intravenous antimicrobial therapy and limb monitoring.,AI-Enriched-WHO-ThaiDRG
L03.21,Cellulitis of face,InPatient,5,10,7,High-risk area; monitor for cavernous sinus thrombosis; ophthalmology consult if necessary.,AI-Enriched-WHO-ThaiDRG
I21.3,ST elevation myocardial infarction of unspecified site,InPatient,3,7,5,Acute STEMI management; includes stabilization and post-reperfusion observation in CCU.,AI-Enriched-WHO-ThaiDRG
I24.1,Dressler syndrome,InPatient,3,6,4,Post-myocardial infarction syndrome; requires anti-inflammatory therapy and monitoring for effusion.,AI-Enriched-WHO-ThaiDRG
I24.9,"Acute ischemic heart disease, unspecified",InPatient,2,5,3,Evaluation of acute chest pain with suspected ischemia; rule out MI protocol.,AI-Enriched-WHO-ThaiDRG
I15.0,Renovascular hypertension,InPatient,3,6,4,Management of refractory hypertension due to renal artery stenosis; requires specialized imaging.,AI-Enriched-WHO-ThaiDRG
I50.20,Unspecified systolic heart failure,InPatient,3,7,5,Management of reduced ejection fraction; titration of diuretics and ACE inhibitors.,AI-Enriched-WHO-ThaiDRG
I50.22,Chronic systolic heart failure,InPatient,4,10,6,Exacerbation of long-term HFrEF; focus on volume status and optimization of GDMT.,AI-Enriched-WHO-ThaiDRG
I50.30,Unspecified diastolic heart failure,InPatient,3,7,4,Heart failure with preserved ejection fraction; management of congestion and comorbidities.,AI-Enriched-WHO-ThaiDRG
I50.32,Chronic diastolic heart failure,InPatient,4,10,6,Recurrent admission for HFpEF; requires intensive blood pressure and fluid management.,AI-Enriched-WHO-ThaiDRG
I50.33,Acute on chronic diastolic heart failure,InPatient,4,8,5,"Acute decompensation of HFpEF; typically triggered by infection, arrhythmia, or diet.",AI-Enriched-WHO-ThaiDRG
I50.40,Unspecified combined systolic and diastolic heart failure,InPatient,4,9,6,Complex heart failure management involving both pump failure and relaxation deficits.,AI-Enriched-WHO-ThaiDRG
I50.42,Chronic combined systolic and diastolic heart failure,InPatient,5,12,7,Advanced chronic failure requiring long-term titration and potential palliative care consult.,AI-Enriched-WHO-ThaiDRG
I50.43,Acute on chronic combined systolic and diastolic heart failure,InPatient,5,10,7,Severe decompensation requiring intravenous inotropes or intensive diuresis.,AI-Enriched-WHO-ThaiDRG
I50.9,"Heart failure, unspecified",InPatient,3,7,4,General cardiac failure management for patients not yet sub-classified.,AI-Enriched-WHO-ThaiDRG
I63.00,Cerebral infarction due to thrombosis of unspecified precerebral artery,InPatient,5,10,7,Ischemic stroke requiring neuro-monitoring and antiplatelet or anticoagulant loading.,AI-Enriched-WHO-ThaiDRG
I63.20,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries,InPatient,5,10,7,Management of stroke caused by carotid or vertebral artery narrowing.,AI-Enriched-WHO-ThaiDRG
I63.30,Cerebral infarction due to thrombosis of unspecified cerebral artery,InPatient,5,12,7,In-situ thrombosis management in intracranial vessels; focus on preventing progression.,AI-Enriched-WHO-ThaiDRG
I63.50,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery,InPatient,5,12,7,Standard ischemic stroke care in a stroke unit; includes early rehabilitation.,AI-Enriched-WHO-ThaiDRG
I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",InPatient,7,14,10,Venous stroke; requires heparinization and monitoring for hemorrhagic transformation.,AI-Enriched-WHO-ThaiDRG
I63.8,Other cerebral infarction,InPatient,5,10,7,Includes stroke from rare causes like vasculitis or dissection; requires etiology workup.,AI-Enriched-WHO-ThaiDRG
I63.9,"Cerebral infarction, unspecified",InPatient,5,10,7,Generic ischemic stroke protocol with secondary prevention and rehab assessment.,AI-Enriched-WHO-ThaiDRG
I26.9,Pulmonary embolism without mention of acute cor pulmonale,InPatient,4,8,6,Anticoagulation therapy for PE; monitoring for oxygenation and bleeding complications.,AI-Enriched-WHO-ThaiDRG
I82.43,Acute embolism and thrombosis of popliteal vein,InPatient,3,6,4,Lower extremity DVT management; initialization of oral anticoagulants (DOACs).,AI-Enriched-WHO-ThaiDRG
I82.44,Acute embolism and thrombosis of tibial vein,InPatient,3,6,4,Distal DVT management; prevention of proximal extension and PE.,AI-Enriched-WHO-ThaiDRG
I82.49,Acute embolism and thrombosis of other specified deep vessels of lower extremity,InPatient,3,6,4,DVT in specified lower leg veins requiring inpatient stabilization.,AI-Enriched-WHO-ThaiDRG
I82.50,Chronic embolism and thrombosis of unspecified deep veins of lower extremity,InPatient,3,7,4,Acute-on-chronic thrombosis or management of post-thrombotic syndrome complications.,AI-Enriched-WHO-ThaiDRG
I82.62,Acute embolism and thrombosis of deep veins of upper extremity,InPatient,3,6,4,Management of Paget-Schroetter or catheter-associated thrombosis.,AI-Enriched-WHO-ThaiDRG
I11.9,Hypertensive heart disease without heart failure,InPatient,2,5,3,Management of chronic hypertensive changes; exclusion of acute coronary syndrome.,AI-Enriched-WHO-ThaiDRG
I15.8,Other secondary hypertension,InPatient,3,6,4,Workup for secondary causes such as obstructive sleep apnea or drug-induced HTN.,AI-Enriched-WHO-ThaiDRG
I15.9,"Secondary hypertension, unspecified",InPatient,3,6,4,Investigation and control of severe hypertension of unknown secondary origin.,AI-Enriched-WHO-ThaiDRG
I27.2,Other secondary pulmonary hypertension,InPatient,4,9,6,Management of pulmonary hypertension related to left heart or lung disease.,AI-Enriched-WHO-ThaiDRG
K35.89,Other acute appendicitis,InPatient,2,4,3,Post-operative care for acute appendicitis without localized or generalized peritonitis.,AI-Enriched-WHO-ThaiDRG
K38.0,Hyperplasia of appendix,InPatient,1,3,2,Elective appendectomy for incidental or chronic appendiceal pathology.,AI-Enriched-WHO-ThaiDRG
K80.00,"Calculus of gallbladder with acute cholecystitis, without obstruction",InPatient,3,6,4,Surgical management of acute cholecystitis via laparoscopic or open cholecystectomy.,AI-Enriched-WHO-ThaiDRG
K80.20,Calculus of gallbladder without cholecystitis,InPatient,1,3,2,Elective laparoscopic cholecystectomy for symptomatic cholelithiasis.,AI-Enriched-WHO-ThaiDRG
K40.00,"Bilateral inguinal hernia, without obstruction or gangrene",InPatient,2,4,3,Simultaneous bilateral inguinal hernia repair with mesh.,AI-Enriched-WHO-ThaiDRG
K40.10,"Bilateral inguinal hernia, with obstruction, without gangrene",InPatient,3,6,4,Emergency repair of bilateral incarcerated inguinal hernias.,AI-Enriched-WHO-ThaiDRG
K40.40,"Unilateral inguinal hernia, with gangrene",InPatient,5,10,7,Inguinal hernia repair combined with bowel resection due to gangrene.,AI-Enriched-WHO-ThaiDRG
K40.90,"Unilateral inguinal hernia, without obstruction or gangrene",InPatient,1,3,2,Standard elective unilateral herniorrhaphy or hernioplasty.,AI-Enriched-WHO-ThaiDRG
K41.0,"Unilateral femoral hernia, with obstruction, without gangrene",InPatient,3,5,4,Urgent femoral hernia repair due to bowel entrapment.,AI-Enriched-WHO-ThaiDRG
K41.3,"Bilateral femoral hernia, without obstruction or gangrene",InPatient,2,4,3,Elective repair of bilateral femoral hernias.,AI-Enriched-WHO-ThaiDRG
K41.9,"Unilateral femoral hernia, without obstruction or gangrene",InPatient,1,3,2,Standard repair of symptomatic femoral hernia.,AI-Enriched-WHO-ThaiDRG
K42.9,Umbilical hernia without obstruction or gangrene,InPatient,1,2,2,Elective repair of umbilical hernia in adult patients.,AI-Enriched-WHO-ThaiDRG
K43.9,Ventral hernia without obstruction or gangrene,InPatient,2,5,3,Incisional or ventral hernia repair requiring mesh reinforcement.,AI-Enriched-WHO-ThaiDRG
K44.9,Diaphragmatic hernia without obstruction or gangrene,InPatient,3,7,5,Elective surgical repair of hiatal or other diaphragmatic hernias.,AI-Enriched-WHO-ThaiDRG
S42.20,"Fracture of upper end of humerus, closed",InPatient,3,7,4,Open reduction internal fixation (ORIF) of proximal humerus fractures.,AI-Enriched-WHO-ThaiDRG
S42.30,"Fracture of shaft of humerus, closed",InPatient,3,6,4,Surgical fixation of humeral shaft fracture using plates or nails.,AI-Enriched-WHO-ThaiDRG
S52.50,"Fracture of lower end of radius, closed",InPatient,2,4,3,ORIF for distal radius (Colles') fractures involving joint surface.,AI-Enriched-WHO-ThaiDRG
S52.60,"Fracture of lower end of both ulna and radius, closed",InPatient,3,6,4,Surgical stabilization of combined distal forearm fractures.,AI-Enriched-WHO-ThaiDRG
S62.00,"Fracture of navicular [scaphoid] bone of hand, closed",InPatient,1,3,2,Screw fixation for unstable or displaced scaphoid fractures.,AI-Enriched-WHO-ThaiDRG
S72.00,"Fracture of neck of femur, closed",InPatient,5,12,7,Hip hemiarthroplasty or internal fixation for femoral neck fractures.,AI-Enriched-WHO-ThaiDRG
S72.10,"Pertrochanteric fracture, closed",InPatient,5,10,7,Fixation with dynamic hip screw (DHS) or proximal femoral nails.,AI-Enriched-WHO-ThaiDRG
S72.20,"Subtrochanteric fracture, closed",InPatient,7,14,10,Intramedullary nailing for complex subtrochanteric femoral fractures.,AI-Enriched-WHO-ThaiDRG
S82.10,"Fracture of upper end of tibia, closed",InPatient,4,9,6,ORIF for tibial plateau fractures involving articular surface reconstruction.,AI-Enriched-WHO-ThaiDRG
S82.20,"Fracture of shaft of tibia, closed",InPatient,4,8,5,Intramedullary nailing for tibial shaft fractures.,AI-Enriched-WHO-ThaiDRG
S82.30,"Fracture of lower end of tibia, closed",InPatient,4,8,5,Internal fixation for distal tibia or pilon fractures.,AI-Enriched-WHO-ThaiDRG
S82.5,Fracture of medial malleolus,InPatient,2,5,3,Surgical fixation of isolated medial malleolar ankle fractures.,AI-Enriched-WHO-ThaiDRG
M16.1,Other primary coxarthrosis,InPatient,5,10,7,Elective primary total hip arthroplasty (THA) for severe osteoarthritis.,AI-Enriched-WHO-ThaiDRG
M17.0,"Primary gonarthrosis, bilateral",InPatient,7,14,10,Bilateral total knee arthroplasty (TKA) performed in a single admission.,AI-Enriched-WHO-ThaiDRG
M17.1,"Primary gonarthrosis, unilateral",InPatient,5,10,7,Elective unilateral total knee arthroplasty (TKA) for osteoarthritis.,AI-Enriched-WHO-ThaiDRG
M19.01,"Primary osteoarthritis, shoulder",InPatient,4,8,5,Total shoulder arthroplasty for end-stage glenohumeral osteoarthritis.,AI-Enriched-WHO-ThaiDRG
O01.0,Classical hydatidiform mole,InPatient,2,5,3,Management of molar pregnancy requiring surgical evacuation and serial HCG monitoring.,AI-Enriched-WHO-ThaiDRG
O01.1,Incomplete and partial hydatidiform mole,InPatient,2,4,3,Surgical management of partial molar pregnancy with observation for persistent gestational trophoblastic disease.,AI-Enriched-WHO-ThaiDRG
O01.9,"Hydatidiform mole, unspecified",InPatient,2,4,3,Diagnosis and evacuation of gestational trophoblastic mole; post-op monitoring for hemorrhage.,AI-Enriched-WHO-ThaiDRG
O02.0,Blighted ovum and nonhydatidiform mole,InPatient,1,3,2,Management of early pregnancy failure; surgical or medical evacuation of retained products.,AI-Enriched-WHO-ThaiDRG
O02.1,Missed abortion,InPatient,1,3,2,Management of fetal demise before 20 weeks; observation for coagulopathy or infection risk.,AI-Enriched-WHO-ThaiDRG
O03.0,"Spontaneous abortion, incomplete, complicated by genital tract infection",InPatient,3,7,4,Septic abortion management requiring IV antibiotics and surgical evacuation of the uterus.,AI-Enriched-WHO-ThaiDRG
O03.1,"Spontaneous abortion, incomplete, complicated by delayed or excessive hemorrhage",InPatient,2,5,3,Management of heavy bleeding post-miscarriage; may require blood transfusion and curettage.,AI-Enriched-WHO-ThaiDRG
O03.3,"Spontaneous abortion, incomplete, complicated by shock",InPatient,4,8,5,Emergency stabilization for hemorrhagic or septic shock following spontaneous abortion.,AI-Enriched-WHO-ThaiDRG
O04.0,"Medical abortion, incomplete, complicated by genital tract infection",InPatient,3,6,4,Management of infection following medical termination; requiring antibiotic therapy and evacuation.,AI-Enriched-WHO-ThaiDRG
O04.1,"Medical abortion, incomplete, complicated by delayed or excessive hemorrhage",InPatient,2,5,3,Treatment of hemorrhage following medical abortion procedures.,AI-Enriched-WHO-ThaiDRG
O05.0,"Other abortion, incomplete, complicated by genital tract infection",InPatient,3,6,4,Management of infection following unspecified pregnancy loss.,AI-Enriched-WHO-ThaiDRG
O05.1,"Other abortion, incomplete, complicated by delayed or excessive hemorrhage",InPatient,2,4,3,Clinical stabilization and uterine evacuation for hemorrhage in early pregnancy loss.,AI-Enriched-WHO-ThaiDRG
O08.0,Genital tract infection following abortion and ectopic and molar pregnancy,InPatient,3,7,5,Treatment of pelvic inflammatory disease or sepsis following abnormal pregnancy resolution.,AI-Enriched-WHO-ThaiDRG
O08.1,Delayed or excessive hemorrhage following abortion and ectopic and molar pregnancy,InPatient,2,5,3,Post-procedure hemorrhage management for non-viable pregnancy outcomes.,AI-Enriched-WHO-ThaiDRG
O08.2,Embolism following abortion and ectopic and molar pregnancy,InPatient,5,10,7,Critical management of pulmonary or air embolism following pregnancy termination.,AI-Enriched-WHO-ThaiDRG
O08.3,Shock following abortion and ectopic and molar pregnancy,InPatient,4,10,6,Intensive monitoring for circulatory failure following surgical or spontaneous abortion.,AI-Enriched-WHO-ThaiDRG
O08.4,Renal failure following abortion and ectopic and molar pregnancy,InPatient,5,12,8,Acute kidney injury management secondary to septic or hemorrhagic obstetric complications.,AI-Enriched-WHO-ThaiDRG
O12.0,Pregnancy-induced oedema,InPatient,2,4,3,Evaluation for pre-eclampsia in patients with significant gestational edema.,AI-Enriched-WHO-ThaiDRG
O12.1,Pregnancy-induced proteinuria,InPatient,2,5,3,Monitoring for progression to pre-eclampsia in the presence of gestational proteinuria.,AI-Enriched-WHO-ThaiDRG
O12.2,Pregnancy-induced oedema with proteinuria,InPatient,3,6,4,Management of hypertensive precursors; close maternal and fetal monitoring.,AI-Enriched-WHO-ThaiDRG
O20.0,Threatened abortion,InPatient,2,4,3,Admission for bed rest and observation for early pregnancy bleeding.,AI-Enriched-WHO-ThaiDRG
O44.0,Placenta praevia specified as without haemorrhage,InPatient,3,6,4,Anticipatory admission for high-risk delivery planning and observation.,AI-Enriched-WHO-ThaiDRG
O44.1,Placenta praevia with haemorrhage,InPatient,4,10,6,Management of active obstetric bleeding; often requiring emergency cesarean section.,AI-Enriched-WHO-ThaiDRG
O45.0,Premature separation of placenta with coagulation defect,InPatient,5,12,7,Emergency management of placental abruption complicated by disseminated intravascular coagulation.,AI-Enriched-WHO-ThaiDRG
O45.8,Other premature separation of placenta,InPatient,3,7,5,Management of partial placental abruption with fetal monitoring and delivery planning.,AI-Enriched-WHO-ThaiDRG
O45.9,"Premature separation of placenta, unspecified",InPatient,3,7,5,Clinical management of suspected abruption placentae; immediate maternal-fetal assessment.,AI-Enriched-WHO-ThaiDRG
O71.2,Postpartum inversion of uterus,InPatient,3,7,5,Management of uterine inversion following delivery; requires manual or surgical repositioning.,AI-Enriched-WHO-ThaiDRG
O72.0,Third-stage haemorrhage,InPatient,2,5,3,Hemorrhage associated with retained placenta requiring manual removal or curettage.,AI-Enriched-WHO-ThaiDRG
O72.1,Other immediate postpartum haemorrhage,InPatient,2,5,4,Postpartum hemorrhage within 24 hours of delivery requiring uterotonics and monitoring.,AI-Enriched-WHO-ThaiDRG
O72.2,Delayed and secondary postpartum haemorrhage,InPatient,2,5,4,"Management of hemorrhage occurring after 24 hours postpartum, often due to retained products.",AI-Enriched-WHO-ThaiDRG
J21.9,"Acute bronchiolitis, unspecified",InPatient,3,7,4,Requires oxygen saturation monitoring and hydration support in infants with respiratory distress.,AI-Enriched-WHO-ThaiDRG
R56.8,Other and unspecified convulsions (Febrile seizure),InPatient,1,3,2,Observation for seizure recurrence and investigation of underlying infection focus.,AI-Enriched-WHO-ThaiDRG
A08.5,Other specified intestinal infections (Viral gastroenteritis),InPatient,2,4,3,Management of acute dehydration and electrolyte monitoring in pediatric viral diarrhea.,AI-Enriched-WHO-ThaiDRG
A04.0,Enteropathogenic Escherichia coli infection,InPatient,3,5,4,Fluid replacement and monitoring for signs of systemic involvement in bacterial enteritis.,AI-Enriched-WHO-ThaiDRG
A04.1,Arizona enteritis,InPatient,3,6,4,Inpatient management of bacterial diarrhea with emphasis on infection control and rehydration.,AI-Enriched-WHO-ThaiDRG
A04.2,Enteroinvasive Escherichia coli infection,InPatient,3,7,5,Requires intravenous fluids if oral intake is poor; monitor for dysentery-like symptoms.,AI-Enriched-WHO-ThaiDRG
A04.3,Enterohaemorrhagic Escherichia coli infection,InPatient,5,10,7,High risk for Hemolytic Uremic Syndrome; requires frequent renal function and hematology labs.,AI-Enriched-WHO-ThaiDRG
A04.4,Other intestinal Escherichia coli infections,InPatient,2,5,3,Symptomatic treatment and hydration for moderate to severe pediatric gastroenteritis.,AI-Enriched-WHO-ThaiDRG
A04.5,Campylobacter enteritis,InPatient,3,6,4,Antibiotic therapy indicated for severe or prolonged cases; monitoring for neurological complications.,AI-Enriched-WHO-ThaiDRG
A04.6,Enteritis due to Yersinia enterocolitica,InPatient,3,7,5,Management of febrile diarrhea; may mimic acute appendicitis in older children.,AI-Enriched-WHO-ThaiDRG
A04.7,Enterocolitis due to Clostridium difficile,InPatient,5,10,7,Occurs post-antibiotic therapy; requires specific oral vancomycin or metronidazole and isolation.,AI-Enriched-WHO-ThaiDRG
A04.8,Other specified bacterial intestinal infections,InPatient,3,6,4,Targeted therapy based on stool culture results and clinical severity.,AI-Enriched-WHO-ThaiDRG
A04.9,"Bacterial intestinal infection, unspecified",InPatient,2,5,3,Standard pediatric diarrhea protocol including zinc supplementation and ORS/IVF.,AI-Enriched-WHO-ThaiDRG
P21.9,"Birth asphyxia, unspecified",InPatient,3,10,5,Post-resuscitation care; monitoring for hypoxic-ischemic encephalopathy and organ dysfunction.,AI-Enriched-WHO-ThaiDRG
P23.0,Congenital pneumonia due to viral agent,InPatient,7,14,10,Respiratory support and secondary infection prophylaxis in newborns.,AI-Enriched-WHO-ThaiDRG
P23.1,Congenital pneumonia due to Chlamydia,InPatient,7,14,10,Requires specific macrolide therapy and monitoring for systemic involvement.,AI-Enriched-WHO-ThaiDRG
P23.4,Congenital pneumonia due to Escherichia coli,InPatient,10,21,14,Intensive antibiotic therapy for neonatal gram-negative pulmonary infection.,AI-Enriched-WHO-ThaiDRG
P24.1,Neonatal aspiration of amniotic fluid and mucus,InPatient,3,7,5,Observation for respiratory distress and secondary bacterial pneumonia.,AI-Enriched-WHO-ThaiDRG
P24.8,Other neonatal aspiration syndromes,InPatient,3,7,5,Suctioning and respiratory monitoring for infants with clear fluid aspiration.,AI-Enriched-WHO-ThaiDRG
P28.3,Primary sleep apnoea of newborn,InPatient,5,12,7,Monitoring for cessation of breathing; may require caffeine citrate or CPAP.,AI-Enriched-WHO-ThaiDRG
P28.4,Other apnoea of newborn,InPatient,3,10,7,"Evaluation for underlying causes such as infection, metabolic error, or CNS issues.",AI-Enriched-WHO-ThaiDRG
P35.2,Congenital herpesviral [herpes simplex] infection,InPatient,14,21,21,High-dose acyclovir therapy and CSF monitoring for neonatal encephalitis.,AI-Enriched-WHO-ThaiDRG
P35.8,Other congenital viral diseases,InPatient,7,14,10,Diagnostic workup for TORCH infections and supportive care.,AI-Enriched-WHO-ThaiDRG
P38,Omphalitis of newborn with or without mild haemorrhage,InPatient,3,7,5,Intravenous antibiotics to prevent progression to sepsis or necrotizing fasciitis.,AI-Enriched-WHO-ThaiDRG
P39.3,Neonatal urinary tract infection,InPatient,7,14,10,IV antibiotics and renal ultrasound to rule out structural abnormalities.,AI-Enriched-WHO-ThaiDRG
P52.1,"Intraventricular (non-traumatic) haemorrhage, grade 2",InPatient,7,21,14,Serial head ultrasounds to monitor for post-hemorrhagic hydrocephalus.,AI-Enriched-WHO-ThaiDRG
P52.3,Unspecified intraventricular haemorrhage of fetus and newborn,InPatient,7,14,10,Neuroprotective strategies and monitoring in the neonatal intensive care unit.,AI-Enriched-WHO-ThaiDRG
P54.0,Neonatal haematemesis,InPatient,2,5,3,Differential diagnosis between swallowed maternal blood and neonatal gastrointestinal bleeding.,AI-Enriched-WHO-ThaiDRG
P70.1,Syndrome of infant of a mother with gestational diabetes,InPatient,2,4,3,"Strict monitoring for hypoglycemia, hypocalcemia, and polycythemia.",AI-Enriched-WHO-ThaiDRG
P74.1,Dehydration of newborn,InPatient,2,5,3,Fluid resuscitation and assessment of breastfeeding adequacy or underlying illness.,AI-Enriched-WHO-ThaiDRG
C19,Malignant neoplasm of rectosigmoid junction,InPatient,7,14,10,Post-operative care for anterior resection; monitoring for anastomotic leak and return of bowel function,AI-Enriched-WHO-ThaiDRG
C21.0,"Malignant neoplasm of anus, unspecified",InPatient,3,7,5,Management of acute chemoradiation toxicity including severe proctitis or pain management,AI-Enriched-WHO-ThaiDRG
C22.1,Intrahepatic bile duct carcinoma,InPatient,7,12,9,Major hepatectomy; monitoring for post-operative liver failure and bile leakage,AI-Enriched-WHO-ThaiDRG
C31.0,Malignant neoplasm of maxillary sinus,InPatient,5,10,7,Post-maxillectomy care; monitoring of surgical flap viability and management of sinonasal packing,AI-Enriched-WHO-ThaiDRG
C43.5,Malignant melanoma of trunk,InPatient,2,5,3,Wide local excision with sentinel lymph node biopsy; drainage management,AI-Enriched-WHO-ThaiDRG
C45.0,Mesothelioma of pleura,InPatient,4,8,6,Palliative pleurodesis for recurrent malignant pleural effusion; chest tube management,AI-Enriched-WHO-ThaiDRG
C48.0,Malignant neoplasm of retroperitoneum,InPatient,10,20,14,Extensive resection of retroperitoneal sarcoma often requiring multi-organ resection,AI-Enriched-WHO-ThaiDRG
C51.0,Malignant neoplasm of labium majus,InPatient,5,12,8,Radical vulvectomy with bilateral inguinal lymphadenectomy; wound healing monitoring,AI-Enriched-WHO-ThaiDRG
C54.3,Malignant neoplasm of fundus uteri,InPatient,4,7,5,Total abdominal hysterectomy and bilateral salpingo-oophorectomy for endometrial cancer,AI-Enriched-WHO-ThaiDRG
C55,"Malignant neoplasm of uterus, part unspecified",InPatient,5,10,7,Cytoreductive surgery and surgical staging for advanced uterine malignancy,AI-Enriched-WHO-ThaiDRG
C57.0,Malignant neoplasm of Fallopian tube,InPatient,4,8,6,Primary debulking surgery; monitoring for post-operative ileus or pelvic infection,AI-Enriched-WHO-ThaiDRG
C65,Malignant neoplasm of renal pelvis,InPatient,5,9,7,Radical nephroureterectomy; monitoring of renal function and post-op hemorrhage,AI-Enriched-WHO-ThaiDRG
C66,Malignant neoplasm of ureter,InPatient,4,7,6,Ureterectomy with bladder cuff excision; urinary diversion or stent monitoring,AI-Enriched-WHO-ThaiDRG
C69.0,Malignant neoplasm of conjunctiva,InPatient,2,4,3,Excision of ocular surface squamous neoplasia; cryotherapy and reconstructive grafting,AI-Enriched-WHO-ThaiDRG
