icd_code,diagnosis_group,expected_drug_classes,red_flag_drugs,max_drug_count,notes
O47,false_labor,reassurance;analgesics(paracetamol);hydration;rest;monitoring,tocolytics(not_indicated_for_false_labor);opioids,2,Thai_RTCOG_guidelines;differentiate_from_true_labor;cervical_assessment;CTG_monitoring;discharge_with_return_precautions
O60,preterm_labor,tocolytics(nifedipine_or_atosiban);corticosteroids(betamethasone_for_fetal_lung);magnesium_sulfate(neuroprotection);antibiotics(GBS_prophylaxis);progesterone(maintenance),tocolytics_beyond_48_hours;tocolytics_if_chorioamnionitis;beta_agonists(terbutaline_cardiac_risk),6,Thai_RTCOG_preterm_labor_guidelines;nifedipine_first_line_tocolytic;steroids_24_to_34_weeks;GBS_prophylaxis_if_status_unknown
O99,other_maternal_diseases_in_pregnancy,disease_specific_treatment(pregnancy_safe);folic_acid;iron_supplementation;monitoring;specialist_referral,teratogenic_drugs(warfarin_methotrexate_ACEi_ARBs_valproate);category_X_medications,6,Thai_RTCOG_maternal_medicine_guidelines;MDT_approach;medication_review_for_pregnancy_safety;trimester_specific_management
P07,preterm_and_low_birth_weight,surfactant_therapy;respiratory_support(CPAP_or_ventilation);IV_fluids_and_TPN;caffeine_citrate(apnea_of_prematurity);antibiotics(if_sepsis_suspected);vitamin_K,excessive_oxygen(ROP_risk);rapid_fluid_bolus;aminoglycosides_without_monitoring,8,Thai_neonatal_guidelines;surfactant_for_RDS;caffeine_for_apnea;kangaroo_care;developmental_follow_up
P22,respiratory_distress_of_newborn,surfactant_replacement;CPAP_or_mechanical_ventilation;oxygen_therapy;IV_fluids;antibiotics(rule_out_sepsis);caffeine(apnea),excessive_oxygen(ROP_risk);delayed_surfactant;rapid_fluid_bolus,7,Thai_neonatal_resuscitation_guidelines;early_CPAP;surfactant_within_2_hours_if_RDS;blood_gas_monitoring
P36,neonatal_sepsis,antibiotics(ampicillin_plus_gentamicin_empiric;cefotaxime_if_meningitis);IV_fluids;vasopressors(if_shock);blood_products(if_DIC);supportive_care,delayed_antibiotics;ceftriaxone_in_neonates(bilirubin_displacement);aminoglycosides_without_level_monitoring,7,Thai_neonatal_sepsis_guidelines;blood_culture_before_antibiotics;early_vs_late_onset;CRP_and_procalcitonin_monitoring;48_72h_review
P59,neonatal_jaundice,phototherapy;exchange_transfusion(if_severe);IV_fluids;breastfeeding_support;monitoring_bilirubin_levels,phenobarbital(limited_evidence);delayed_phototherapy,4,Thai_neonatal_guidelines;Bhutani_nomogram;TSB_monitoring;breastfeeding_jaundice_vs_breast_milk_jaundice;G6PD_screening_common_in_Thailand
S00,superficial_head_injury,analgesics(paracetamol);wound_care;cold_compresses;tetanus_prophylaxis(if_wound);observation,NSAIDs(increase_bleeding_risk);aspirin;opioids;sedatives(mask_neurological_signs),3,Thai_trauma_guidelines;GCS_monitoring;CT_head_if_red_flags;discharge_with_head_injury_advice;return_if_deterioration
S02,skull_fracture,analgesics(paracetamol);antibiotics(if_open_fracture);IV_fluids;anticonvulsants(phenytoin_prophylaxis_if_indicated);surgical_management(if_depressed_or_open),NSAIDs(bleeding_risk);aspirin;anticoagulants;sedatives_without_monitoring,6,Thai_neurosurgical_guidelines;CT_head_mandatory;GCS_monitoring;ICU_if_moderate_to_severe;CSF_leak_management
S06,intracranial_injury,osmotic_agents(mannitol_or_hypertonic_saline);analgesics(paracetamol);anticonvulsants(phenytoin_or_levetiracetam);IV_fluids;vasopressors(if_needed);surgical(craniotomy_if_indicated),NSAIDs;aspirin;anticoagulants(unless_essential);excessive_sedation,8,Thai_neurosurgical_and_trauma_guidelines;GCS_monitoring;ICP_management;CT_head_serial;CPP_target_60_to_70
S22,rib_and_sternum_fracture,analgesics(paracetamol_NSAIDs_intercostal_nerve_block);incentive_spirometry;chest_physiotherapy;opioids(if_severe_pain);epidural_analgesia(multiple_fractures),excessive_opioids(respiratory_depression);inadequate_analgesia(atelectasis_risk),5,Thai_trauma_guidelines;CXR_to_exclude_pneumothorax;pain_control_critical_for_lung_expansion;surgical_fixation_if_flail_chest
S42,shoulder_and_upper_arm_fracture,analgesics(paracetamol_NSAIDs);immobilization(sling_or_splint);calcium_and_vitamin_D;surgical_fixation(if_displaced);physical_therapy(rehabilitation),NSAIDs_prolonged(bone_healing);opioids_long_term,5,Thai_orthopedic_guidelines;xray_for_classification;sling_for_nondisplaced;ORIF_if_displaced;rehabilitation_program
S52,forearm_fracture,analgesics(paracetamol_NSAIDs);immobilization(cast_or_splint);surgical_fixation(if_displaced_or_both_bone);calcium_and_vitamin_D;physical_therapy,NSAIDs_prolonged;opioids_long_term;delayed_reduction,5,Thai_orthopedic_guidelines;xray_AP_and_lateral;closed_reduction_if_possible;ORIF_for_displaced;compartment_syndrome_watch
S62,hand_and_wrist_fracture,analgesics(paracetamol_NSAIDs);immobilization(splint_or_cast);buddy_taping(phalanges);surgical_fixation(if_displaced);hand_therapy,NSAIDs_prolonged;opioids;delayed_scaphoid_treatment,4,Thai_orthopedic_and_hand_surgery_guidelines;xray_including_scaphoid_views;MRI_if_scaphoid_suspected;early_mobilization_protocol
S82,lower_leg_fracture,analgesics(paracetamol_NSAIDs_opioids);immobilization(cast_or_splint);thromboprophylaxis(enoxaparin);surgical_fixation(ORIF_or_IM_nail);calcium_and_vitamin_D;antibiotics(if_open_cefazolin),NSAIDs_prolonged(bone_healing);excessive_opioids;delayed_DVT_prophylaxis,7,Thai_orthopedic_guidelines;xray_including_knee_and_ankle;open_fracture_classification;compartment_syndrome_monitoring;weight_bearing_protocol
T14,injury_unspecified,analgesics(paracetamol_NSAIDs);wound_care;tetanus_prophylaxis(if_wound);IV_fluids(if_hemorrhage);antibiotics(if_contaminated_wound),excessive_opioids;NSAIDs_if_bleeding_risk;delayed_tetanus_prophylaxis,5,Thai_trauma_guidelines;ATLS_primary_survey;injury_severity_scoring;tetanus_status_check;appropriate_imaging
T30,burns,wound_care(silver_sulfadiazine_or_modern_dressings);analgesics(paracetamol_opioids);IV_fluids(Parkland_formula_if_major);antibiotics(if_infected_not_prophylactic);tetanus_prophylaxis;nutritional_support,prophylactic_systemic_antibiotics;topical_steroids_on_burns;excessive_cooling,8,Thai_burn_management_guidelines;TBSA_estimation;Parkland_formula_for_fluid;referral_criteria_to_burn_center;escharotomy_if_circumferential
R10,abdominal_pain,analgesics(paracetamol);antispasmodics(hyoscine);antiemetics(ondansetron);IV_fluids;proton_pump_inhibitors(if_upper_GI);antibiotics(if_infection_suspected),opioids_before_surgical_assessment;NSAIDs_if_GI_cause;delayed_surgical_consultation,5,Thai_emergency_medicine_guidelines;surgical_abdomen_exclusion;appropriate_imaging;serial_examination;pain_does_not_mask_diagnosis
R11,nausea_and_vomiting,antiemetics(ondansetron_metoclopramide_domperidone);oral_rehydration;IV_fluids(if_dehydrated);electrolyte_replacement;proton_pump_inhibitors(if_GI_cause),metoclopramide_in_children(dystonia);prolonged_ondansetron_without_ECG;domperidone_high_dose(QTc),4,Thai_clinical_practice_guidelines;identify_underlying_cause;dehydration_assessment;pregnancy_test_if_reproductive_age
R50.9,fever_unspecified,antipyretics(paracetamol);IV_fluids;blood_cultures;empiric_antibiotics(if_sepsis_suspected);cooling_measures,NSAIDs_in_dengue_season;empiric_broad_spectrum_without_cultures;aspirin_in_children(Reye_syndrome),4,Thai_MOPH_guidelines;tropical_infection_screening_in_Thailand;dengue_NS1_and_serology;CBC_with_differential;blood_culture_if_high_grade
R56,convulsions,benzodiazepines(diazepam_IV_or_rectal_or_midazolam_buccal);phenytoin_or_fosphenytoin(status_epilepticus);levetiracetam;valproate(IV);phenobarbital;oxygen;IV_fluids,excessive_benzodiazepines(respiratory_depression);phenytoin_rapid_infusion(arrhythmia);valproate_in_pregnancy,7,Thai_neurology_and_emergency_guidelines;ABC_first;benzodiazepines_first_line;status_epilepticus_protocol;identify_cause;febrile_seizure_management_in_children
A27,leptospirosis,antibiotics(doxycycline_or_azithromycin);IV_antibiotics(ceftriaxone_or_penicillin_g_if_severe);antipyretics(paracetamol);IV_crystalloids(hydration),NSAIDs(bleeding_risk_if_dengue_co-infection);aminoglycosides(nephrotoxicity_risk),6,Thai_CPG_recommendations;doxycycline_for_mild_cases;monitor_renal_and_hepatic_function;watch_for_jarisch_herxheimer_reaction
J30,allergic_rhinitis,oral_antihistamines(cetirizine_or_loratadine_or_fexofenadine);intranasal_corticosteroids(fluticasone_or_mometasone);leukotriene_receptor_antagonists(montelukast);nasal_saline_irrigation,oral_decongestants(uncontrolled_hypertension);intranasal_decongestants(limit_use_to_avoid_rhinitis_medicamentosa),5,allergen_avoidance_first_line;intranasal_steroids_most_effective_for_maintenance;sedating_antihistamines_caution_in_elderly
G30,alzheimers_disease,acetylcholinesterase_inhibitors(donepezil_or_rivastigmine_or_galantamine);nmda_receptor_antagonists(memantine);antidepressants(sertraline_if_indicated),anticholinergics(worsens_cognition);benzodiazepines(fall_risk_and_confusion);antipsychotics(increased_mortality_risk),5,monitor_bradycardia_with_AChE_inhibitors;start_low_go_slow;non_pharmacological_management_of_behavioral_symptoms
M32,systemic_lupus_erythematosus,antimalarials(hydroxychloroquine);corticosteroids(prednisolone);immunosuppressants(azathioprine_or_mycophenolate_mofetil_or_cyclophosphamide);calcium_and_vitamin_D,live_vaccines(if_immunocompromised);sulfonamides(potential_flare_trigger);echinacea(immune_stimulation),8,Thai_Rheumatology_Association_guidelines;sun_protection_mandatory;annual_eye_exam_for_hydroxychloroquine;monitor_renal_function
K30,functional_dyspepsia,proton_pump_inhibitors(omeprazole_or_lansoprazole);prokinetics(domperidone_or_itopride);h2_receptor_antagonists(famotidine);simethicone,NSAIDs(gastric_irritation);calcium_channel_blockers(may_worsen_gerd_symptoms);theophylline,5,test_and_treat_h_pylori_if_indicated;alarm_features_require_endoscopy;lifestyle_modification_diet
B86,scabies,scabicides(permethrin_cream_or_benzyl_benzoate_lotion);oral_antihistamines(chlorpheniramine_or_hydroxyzine);topical_corticosteroids(for_post_scabies_itch),potent_topical_steroids_monotherapy(scabies_incognito);lindane(toxicity_concerns),4,treat_all_household_contacts_simultaneously;decontaminate_bedding_and_clothing;benzyl_benzoate_dilution_for_children
N30.0,acute_cystitis,antibiotics(fosfomycin_trometamol_or_nitrofurantoin_or_trimethoprim_sulfamethoxazole);urinary_analgesics(phenazopyridine),fluoroquinolones(reserve_for_complicated_cases);aminopenicillins(high_e_coli_resistance_in_thailand),3,Thai_urology_guidelines;fosfomycin_single_dose_preferred_for_compliance;ensure_adequate_hydration
H00.0,hordeolum,topical_antibiotics(chloramphenicol_ointment_or_fusidic_acid);oral_antibiotics(dicloxacillin_if_preseptal_cellulitis);analgesics(paracetamol),topical_corticosteroids(not_indicated_for_acute_infection),3,warm_compress_mainstay_of_treatment;refer_ophthalmologist_for_incision_if_no_improvement
I05,rheumatic_mitral_stenosis,diuretics(furosemide_for_congestion);beta_blockers(atenolol_for_rate_control);vitamin_k_antagonists(warfarin_if_atrial_fibrillation),DOACs(contraindicated_in_moderate_to_severe_mitral_stenosis);nondihydropyridine_ccb(caution_in_heart_failure),6,penicillin_prophylaxis_for_rheumatic_fever_recurrence;strict_inr_monitoring_if_on_warfarin;rate_control_is_crucial
E28.2,polycystic_ovary_syndrome,combined_oral_contraceptives(cyproterone_acetate_ethinylestradiol);metformin(for_insulin_resistance);ovulation_inducers(clomifene_for_infertility),valproate(teratogenic_risk_in_reproductive_age);androgens(exacerbates_symptoms),4,lifestyle_and_weight_loss_first_line;screen_for_metabolic_syndrome_and_diabetes;endometrial_protection
A00.9,cholera,tetracyclines(doxycycline);macrolides(azithromycin);oral_rehydration_salts;IV_fluids(Ringers_Lactate);zinc_supplements,laxatives;diuretics;antimotility_agents(loperamide),5,Thai_MoPH_guidelines_emphasize_aggressive_rehydration;antibiotics_shorten_duration;monitor_electrolytes
A03.0,shigellosis,fluoroquinolones(ciprofloxacin);cephalosporins(ceftriaxone_severe_cases);macrolides(azithromycin);oral_rehydration_salts,antimotility_agents(loperamide_risk_of_toxic_megacolon);aminoglycosides(ineffective_orally),4,Treat_dysentery_empirically;ciprofloxacin_resistance_monitoring_required;avoid_antimotility_drugs
A05.0,staphylococcal_food_poisoning,oral_rehydration_salts;antiemetics(domperidone_or_metoclopramide);antispasmodics(hyoscine),antibiotics(ineffective_for_preformed_toxin);NSAIDs(gastric_irritation),4,Supportive_care_only;symptoms_self_limiting_within_24_48_hours;antibiotics_not_indicated
A06.0,acute_amoebic_dysentery,nitroimidazoles(metronidazole_or_tinidazole);luminal_amebicides(paromomycin);oral_rehydration_salts,corticosteroids(risk_of_perforation_or_fulminant_disease);loperamide,5,Treat_invasive_disease_then_eradicate_cysts;metronidazole_requires_alcohol_abstinence
A07.1,giardiasis,nitroimidazoles(metronidazole_or_tinidazole);benzimidazoles(albendazole),alcohol(disulfiram_like_reaction_with_metronidazole);antibiotics_broad_spectrum(disrupts_flora),3,Common_cause_of_persistent_diarrhea;treat_symptomatic_patients;hygiene_education_critical
A17.0,tuberculous_meningitis,antitubercular_agents(isoniazid_rifampicin_pyrazinamide_ethambutol);corticosteroids(dexamethasone_taper);IV_fluids,ethambutol(caution_in_unconscious_patients_optic_neuritis);fluoroquinolones(monotherapy_masks_diagnosis),8,Medical_emergency;steroids_improve_survival;monitor_liver_function_and_vision
A30.9,leprosy,sulfones(dapsone);rifamycins(rifampicin);phenazine_dyes(clofazimine);corticosteroids(for_reactions),dapsone_monotherapy(resistance_risk);carbamazepine(severe_hypersensitivity_risk_with_dapsone),6,Multidrug_therapy(MDT)_mandatory;duration_6_to_12_months;screen_G6PD_before_dapsone
A35,tetanus_other,antibiotics(metronidazole_or_penicillin_G);tetanus_immunoglobulin(TIG);muscle_relaxants(diazepam_baclofen);neuromuscular_blockers(if_ventilated),stimulants;phenothiazines(may_lower_seizure_threshold),8,Wound_debridement_crucial;neutralize_unbound_toxin;supportive_ICU_care
A36.9,diphtheria,macrolides(erythromycin);penicillins(penicillin_G_procaine);diphtheria_antitoxin(DAT),beta_blockers(if_myocarditis_present_caution);sedatives(respiratory_depression_risk),5,Antitoxin_urgency_is_priority;isolation_droplet_precautions;ECG_monitoring_for_myocarditis
A38,scarlet_fever,penicillins(amoxicillin_or_penicillin_V);macrolides(azithromycin_if_allergy);antipyretics(paracetamol),tetracyclines(resistance_common);aspirin(Reye_syndrome_risk),4,Group_A_Streptococcus;treat_10_days_to_prevent_rheumatic_fever;monitor_for_glomerulonephritis
A39.0,meningococcal_meningitis,cephalosporins(ceftriaxone_or_cefotaxime);penicillins(benzylpenicillin);corticosteroids(dexamethasone),NSAIDs(coagulopathy_risk);delay_in_antibiotics(fatal),6,Chemoprophylaxis_for_close_contacts(rifampicin_or_ciprofloxacin);droplet_precautions
A51.0,primary_genital_syphilis,penicillins(benzathine_penicillin_G);tetracyclines(doxycycline_if_allergic),macrolides(high_resistance_rates);oral_penicillins(inadequate_levels),2,Single_dose_benzathine_penicillin_G_2.4MU;warn_about_Jarisch_Herxheimer_reaction
A54.0,gonococcal_infection,cephalosporins(ceftriaxone_IM);macrolides(azithromycin_single_dose);doxycycline(if_chlamydia_coinfection),fluoroquinolones(widespread_resistance);oral_cephalosporins_monotherapy(unreliable),3,Dual_therapy_recommended_to_cover_chlamydia_and_resistance;partner_notification_essential
A56.0,chlamydial_infection,tetracyclines(doxycycline);macrolides(azithromycin),penicillins(ineffective_for_intracellular_organism);cephalosporins,2,Doxycycline_100mg_bid_7_days_or_Azithromycin_1g_stat;treat_partners;abstinence_7_days
A59.0,urogenital_trichomoniasis,nitroimidazoles(metronidazole_or_tinidazole),alcohol(disulfiram_reaction);clindamycin(less_effective_vaginally),2,Sexually_transmitted;treat_partners_simultaneously;metronidazole_2g_single_dose_preferred
A60.0,genital_herpes,antivirals(acyclovir_valacyclovir_famciclovir);analgesics,topical_antivirals(low_efficacy);corticosteroids(may_worsen_lesions),3,Initiate_treatment_within_72h_of_outbreak;counseling_on_transmission_and_recurrence
A92.0,chikungunya_virus_disease,antipyretics(paracetamol);NSAIDs(ibuprofen_naproxen_only_after_dengue_excluded);weak_opioids(tramadol_for_severe_pain),aspirin(platelet_dysfunction);corticosteroids_systemic(unless_chronic_arthritis_indication),5,Polyarthralgia_can_persist_months;differentiate_from_dengue_before_NSAID_use
B08.4,hand_foot_mouth_disease,antipyretics(paracetamol);oral_analgesics(lidocaine_gel_or_mouthwash);IV_fluids(if_dehydrated),aspirin;antibiotics(viral_etiology);steroids(may_worsen_viral_shedding),4,Enterovirus_71_watch_for_neurological_complications;supportive_care;monitor_hydration
B26.9,mumps,antipyretics(paracetamol);NSAIDs(ibuprofen);scrotal_support(orchitis),aspirin(Reye_syndrome);antibiotics,3,Self_limiting;monitor_for_orchitis_and_meningitis;isolation_5_days_post_onset
B30.2,viral_pharyngoconjunctivitis,artificial_tears;topical_antihistamines;cool_compresses,topical_corticosteroids(risk_of_corneal_ulcer_exacerbation);antibiotic_drops(if_viral),3,Highly_contagious;hygiene_education;symptomatic_relief_only
B35.1,tinea_unguium,antifungals_systemic(itraconazole_terbinafine_fluconazole);topical_antifungals(amorolfine_lacquer),statins(interaction_with_azoles);ketoconazole_oral(hepatotoxicity_risk),3,Topical_alone_ineffective_usually;monitor_liver_enzymes_with_long_term_oral_antifungals
B35.3,tinea_pedis,topical_antifungals(clotrimazole_terbinafine_ketoconazole);keratolytics(salicylic_acid),potent_topical_steroids(tinea_incognito);nystatin(ineffective_for_dermatophytes),3,Keep_feet_dry;treat_secondary_bacterial_infection_if_present;continue_topical_1_week_post_clearance
B45.0,cryptococcal_meningitis,antifungals(amphotericin_B_liposomal_flucytosine_fluconazole);analgesics,corticosteroids(unless_IRIS);fluconazole_monotherapy(induction_phase_in_HIV),6,Induction_consolidation_maintenance_phases;manage_intracranial_pressure_via_lumbar_puncture
B51.9,plasmodium_vivax_malaria,antimalarials(chloroquine_or_artemisinin_combination);8_aminoquinolines(primaquine_for_radical_cure),primaquine_without_G6PD_test(hemolysis_risk);halofantrine(cardiotoxicity),4,G6PD_screening_mandatory_before_primaquine;treat_hypnozoites_to_prevent_relapse
B58.9,toxoplasmosis,folic_acid_antagonists(pyrimethamine);sulfonamides(sulfadiazine);folinic_acid;macrolides(clindamycin_alternative),systemic_steroids_monotherapy;trimethoprim_monotherapy(less_effective),5,Treat_immunocompromised_or_ocular_disease;monitor_bone_marrow_suppression;hydration
B66.1,opisthorchiasis,anthelmintics(praziquantel),hepatotoxic_drugs(if_liver_function_impaired);dexamethasone_routine_use,3,Liver_fluke_endemic_in_NE_Thailand;risk_factor_for_cholangiocarcinoma;single_dose_or_tid_regimen
B74.0,filariasis,anthelmintics(diethylcarbamazine_DEC);albendazole;doxycycline(targets_Wolbachia),DEC_in_patients_with_onchocerciasis(Mazotti_reaction_risk_though_rare_in_TH),4,Lymphatic_filariasis_elimination_program;monitor_for_acute_reactions_to_dying_microfilariae
B76.9,hookworm_disease,benzimidazoles(albendazole_mebendazole);iron_supplements(ferrous_fumarate),high_dose_steroids(risk_of_hyperinfection_if_coinfected_strongyloides),3,Treat_anemia;albendazole_400mg_single_dose;sanitation_improvement
B77.9,ascariasis,benzimidazoles(albendazole_mebendazole);pyrantel_pamoate,drug_combinations_causing_paralysis_without_killing(if_intestinal_obstruction_risk),2,Common_roundworm;single_dose_therapy_usually_effective;surgical_consult_if_obstruction
B80,enterobiasis,benzimidazoles(mebendazole_albendazole);pyrantel_pamoate,antibiotics(ineffective),2,Pinworm;treat_whole_household;repeat_dose_in_2_weeks_to_prevent_reinfection
C11,nasopharyngeal_carcinoma,platinum_agents(cisplatin_carboplatin);antimetabolites(5-fluorouracil);antiemetics(ondansetron_dexamethasone);radiosensitizers,aminoglycosides(ototoxicity_risk_with_cisplatin);nephrotoxic_agents(NSAIDS_concurrent_with_cisplatin),8,Common_in_Thailand;Concurrent_chemoradiation_is_standard;Monitor_hearing_and_renal_function
C15,esophageal_cancer,taxanes(paclitaxel);platinum_agents(carboplatin_cisplatin);antimetabolites(5-fluorouracil);proton_pump_inhibitors,oral_bisphosphonates(esophageal_irritation);drugs_causing_esophagitis,10,Neoadjuvant_chemoradiation_often_indicated;nutritional_support_essential
C16,gastric_cancer,fluoropyrimidines(capecitabine_5-FU);platinum_agents(oxaliplatin_cisplatin);HER2_inhibitors(trastuzumab_if_positive);antiemetics,NSAIDs(GI_bleeding_risk);aspirin(unless_cardio_indication);corticosteroids(without_PPI_cover),10,Test_HER2_status;monitor_for_GI_bleeding;Thai_NLEM_protocols_apply
C22.0,hepatocellular_carcinoma,tyrosine_kinase_inhibitors(sorafenib_lenvatinib);immunotherapy(atezolizumab_bevacizumab);antivirals(tenofovir_entecavir_if_HBV_positive),hepatotoxic_agents(high_dose_paracetamol);sedatives(hepatic_encephalopathy_risk);herbal_supplements,8,Child-Pugh_score_determines_treatment_eligibility;screen_for_varices_before_bevacizumab
C22.1,intrahepatic_cholangiocarcinoma,antimetabolites(gemcitabine);platinum_agents(cisplatin_oxaliplatin);opioids(tramadol_morphine_for_pain);fluoropyrimidines(capecitabine),hepatotoxic_drugs;contraceptives(hormonal_influence_unclear_but_caution);immunosuppressants,10,High_prevalence_in_NE_Thailand;often_palliative_intent;GemCis_regimen_standard
C25,pancreatic_cancer,antimetabolites(gemcitabine_5-FU);platinum_agents(oxaliplatin);topoisomerase_inhibitors(irinotecan);pancreatic_enzymes;opioids,anticoagulants(caution_due_to_procedure_risks);metformin(hold_before_contrast_CT),12,FOLFIRINOX_regimen_for_good_performance_status;manage_diabetes_and_malabsorption
C32,laryngeal_cancer,platinum_agents(cisplatin);antimetabolites(5-FU);EGFR_inhibitors(cetuximab);opioids;mucolytics,respiratory_depressants(excessive_opioids);ototoxic_agents,8,Organ_preservation_protocol;monitor_airway_patency;nutritional_support_via_NG_or_PEG
C43,malignant_melanoma,PD-1_inhibitors(pembrolizumab_nivolumab);BRAF_inhibitors(dabrafenib_vemurafenib);MEK_inhibitors(trametinib);analgesics,immunosuppressants(corticosteroids_may_reduce_immunotherapy_efficacy);photosensitizing_drugs,6,Molecular_testing_BRAF_V600_mandatory_for_advanced_disease;high_cost_medicines_access_programs
C44,non_melanoma_skin_cancer,topical_chemotherapy(5-fluorouracil_cream);immune_response_modifiers(imiquimod);local_anesthetics,immunosuppressants(unless_transplant_recipient);photosensitizing_agents(tetracyclines_thiazides),4,Basal_and_Squamous_cell_carcinoma;surgery_is_primary;topicals_for_superficial_lesions
C49,soft_tissue_sarcoma,anthracyclines(doxorubicin);alkylating_agents(ifosfamide);mesna(hemorrhagic_cystitis_prophylaxis);G-CSF,cardiotoxic_drugs(monitoring_with_doxorubicin);nephrotoxic_agents,9,Multidisciplinary_approach;Ifosfamide_requires_Mesna;monitor_LVEF
C54,endometrial_cancer,taxanes(paclitaxel);platinum_agents(carboplatin_cisplatin);progestins(megestrol_acetate_high_dose);antiemetics,estrogen_replacement_therapy(unopposed);tamoxifen(typically_contraindicated_unless_specific_setting),7,Hormonal_therapy_for_low_grade_or_palliation;Paclitaxel-Carboplatin_standard_adjuvant
C62,testicular_cancer,bleomycin;topoisomerase_inhibitors(etoposide);platinum_agents(cisplatin);antiemetics;G-CSF,oxygen_high_concentration(bleomycin_pulmonary_toxicity_risk);nephrotoxic_agents,8,BEP_regimen_standard;highly_curable;monitor_pulmonary_function_due_to_Bleomycin
C64,renal_cell_carcinoma,tyrosine_kinase_inhibitors(sunitinib_pazopanib_axitinib);immunotherapy(nivolumab_ipilimumab);mTOR_inhibitors(everolimus),nephrotoxic_agents(NSAIDs_aminoglycosides);strong_CYP3A4_inhibitors(interaction_with_TKIs),7,Chemotherapy_usually_ineffective;TKIs_are_first_line_in_Thai_NLEM_for_metastatic
C67,bladder_cancer,intravesical_agents(BCG_mitomycin);platinum_agents(cisplatin_carboplatin);antimetabolites(gemcitabine);alkalinizing_agents,nephrotoxic_drugs(cisplatin_risk);anticoagulants(during_intravesical_therapy),8,Hydration_critical_with_cisplatin;intravesical_BCG_maintenance_for_NMIBC
C71,brain_malignancy,alkylating_agents(temozolomide);corticosteroids(dexamethasone);anticonvulsants(levetiracetam_phenytoin);gastric_protection(PPI),anticoagulants(high_bleed_risk);drugs_lowering_seizure_threshold(tramadol_imipenem),8,Glioblastoma_protocol_Stupp_regimen;monitor_glucose_on_steroids;PCP_prophylaxis_if_long_term_steroids
C81,hodgkin_lymphoma,anthracyclines(doxorubicin);vinca_alkaloids(vinblastine);alkylating_agents(dacarbazine);bleomycin;antiemetics,G-CSF(caution_with_bleomycin_lung_injury);cardiotoxic_agents,10,ABVD_regimen_common;high_cure_rate;monitor_long_term_cardiac_and_pulmonary_effects
C83,diffuse_large_b_cell_lymphoma,anti_CD20(rituximab);anthracyclines(doxorubicin);alkylating_agents(cyclophosphamide);vinca_alkaloids(vincristine);corticosteroids(prednisolone),live_vaccines(during_rituximab);cardiotoxic_drugs;strong_CYP3A4_inducers,12,R-CHOP_standard_of_care;Tumor_Lysis_Syndrome_prophylaxis_needed
C85,non_hodgkin_lymphoma_unspecified,alkylating_agents(cyclophosphamide_chlorambucil);anti_CD20(rituximab);corticosteroids;analgesics,NSAIDs(if_platelets_low);aspirin,8,Treatment_depends_on_subtype_indolent_vs_aggressive;confirm_histology_before_chemo
C90,multiple_myeloma,proteasome_inhibitors(bortezomib);immunomodulators(thalidomide_lenalidomide);corticosteroids(dexamethasone);bisphosphonates(zoledronic_acid);antivirals(acyclovir_prophylaxis),nephrotoxic_agents(NSAIDs_contrast_media);teratogenic_drugs(thalidomide_strict_control),10,Thai_NLEM_covers_Bortezomib_first_line_transplant_eligible;VZV_prophylaxis_mandatory_with_Bortezomib
C91.0,acute_lymphoblastic_leukemia,vinca_alkaloids(vincristine);corticosteroids(prednisolone_dexamethasone);anthracyclines;asparaginase;intrathecal_chemotherapy(methotrexate),live_vaccines;corticosteroids(chronic_use_side_effects);drugs_interacting_with_methotrexate(NSAIDs_sulfonamides),15,Complex_protocols;CNS_prophylaxis_essential;monitor_for_pancreatitis_and_thrombosis
C91.1,chronic_lymphocytic_leukemia,alkylating_agents(chlorambucil_cyclophosphamide);anti_CD20(rituximab);BTK_inhibitors(ibrutinib_restricted);purine_analogs(fludarabine),live_vaccines;immunosuppressants(additive_risk);nephrotoxic_agents,8,Watch_and_wait_for_early_stage;FCR_regimen_for_fit_patients;infection_prophylaxis
C92.0,acute_myeloid_leukemia,antimetabolites(cytarabine);anthracyclines(idarubicin_daunorubicin);azole_antifungals(prophylaxis);allopurinol,G-CSF(caution_during_induction_unless_indicated);nephrotoxic_agents;NSAIDs(platelet_dysfunction),12,7+3_induction_regimen;urgent_treatment;massive_transfusion_support_may_be_needed
C92.1,chronic_myeloid_leukemia,tyrosine_kinase_inhibitors(imatinib_dasatinib_nilotinib);hydroxyurea(temporarily_for_high_WBC),PPIs(reduce_dasatinib_absorption);strong_CYP3A4_inducers_or_inhibitors,4,Imatinib_is_NLEM_E2_category;life_long_treatment;monitor_BCR_ABL_levels
D05,carcinoma_in_situ_breast,selective_estrogen_receptor_modulators(tamoxifen);analgesics(paracetamol_post_op),hormone_replacement_therapy(estrogen);strong_CYP2D6_inhibitors(fluoxetine_paroxetine_reduce_tamoxifen_efficacy),3,DCIS_or_LCIS;Surgery_and_radiation_mainstays;Tamoxifen_reduces_recurrence_risk_in_ER_positive
D12,benign_colon_polyps,osmotic_laxatives(polyethylene_glycol_sodium_phosphate_for_bowel_prep);sedatives(midazolam_propofol_for_procedure),anticoagulants(hold_before_polypectomy);iron_supplements(stop_before_colonoscopy),3,Diagnosis_by_colonoscopy;drug_therapy_limited_to_preparation_and_procedural_sedation
