icd_code,diagnosis_group,expected_diagnostics,conditional_diagnostics,unnecessary_diagnostics,max_diagnostic_count,clinical_pathway_source,notes
M30.0,polyarteritis_nodosa,cbc;esr;crp;urinalysis;bun_creatinine,angiogram_visceral(aneurysms);hepatitis_b_surface_antigen(association);biopsy_skin_nerve_muscle(confirmation);ana(rule_out_others);anca(rule_out_microscopic_polyangiitis),xray_joint;bone_scan;synovial_fluid_analysis,10,general,Systemic vasculitis; spares lungs; associated with Hep B; mononeuritis multiplex
M31.3,granulomatosis_with_polyangiitis,c_anca;cbc;esr;crp;urinalysis;chest_xray,ct_chest(cavitary_lesions);biopsy_kidney_lung_nasal(confirmation);bun_creatinine(glomerulonephritis),rf;uric_acid;mri_spine;liver_biopsy,10,general,"Formerly Wegener's; triad of upper airway, lungs, and kidneys"
M33.2,polymyositis,cpk;aldolase;ldh;ast_alt;ana,emg(myopathic_changes);mri_muscle(edema_inflammation);muscle_biopsy(definitive);anti_jo1(antisynthetase_syndrome);esr;crp,bone_scan;xray_joint;lumbar_puncture,10,general,Proximal muscle weakness; exclude drug-induced myopathy
M34.0,progressive_systemic_sclerosis,ana;cbc;urinalysis,anti_scl70(diffuse_type);anti_centromere(limited_type);pulmonary_function_test(ild_screen);hrct_chest(fibrosis);echocardiogram(pulmonary_htn),bone_scan;mri_brain;myelogram,9,general,Scleroderma; monitor for renal crisis and pulmonary hypertension
M35.0,sjogren_syndrome,ana;rheumatoid_factor;esr,anti_ro_ssa;anti_la_ssb;schirmer_test(tear_production);minor_salivary_gland_biopsy(gold_standard);cryoglobulins(vasculitis_risk),mri_brain;ct_abdomen;cpk;uric_acid,8,general,Sicca symptoms; high risk of lymphoma; often RF positive
M35.3,polymyalgia_rheumatica,esr;crp;cbc,temporal_artery_biopsy(if_giant_cell_arteritis_signs);ultrasound_shoulder_hip(bursitis);ana(exclude_ra_lupus);rf(exclude_ra);alkaline_phosphatase(liver_involvement),mri_spine;emg;cpk(usually_normal);muscle_biopsy,8,general,Elderly patient; shoulder/hip stiffness; rapid response to steroids
M43.0,spondylolysis,xray_lumbar_spine_oblique,ct_lumbar_spine(pars_interarticularis_defect);mri_lumbar_spine(marrow_edema_acute);spect_bone_scan(localization_active_lesion),esr;crp;rf;ana;uric_acid,6,moph_thailand_ortho,Pars defect; Scotty dog sign on oblique X-ray; common in gymnasts
M45.9,ankylosing_spondylitis,xray_pelvis_si_joint;esr;crp,hla_b27(diagnosis_support);mri_si_joint(early_sacroiliitis);xray_spine(syndesmophytes);ana(rule_out_others),rf(usually_negative);anti_ccp;uric_acid;bone_scan,8,general,Inflammatory back pain; morning stiffness >30 min; bamboo spine late stage
M46.2,vertebral_osteomyelitis,esr;crp;cbc;mri_spine;blood_culture,ct_guided_biopsy(pathogen_identification);brucella_serology(endemic_risk);tb_workup(pott_disease);xray_spine(endplate_erosion),bone_density_scan;rf;ana;uric_acid,9,moph_thailand_infectious,Spondylodiscitis; MRI is modality of choice; rule out TB spine
M48.0,spinal_stenosis,xray_spine_standing,mri_spine(cord_nerve_compression);ct_spine(bony_anatomy);emg_ncv(radiculopathy_differentiation);abi(rule_out_claudication),bone_scan;rf;ana;crp;esr,6,moph_thailand_ortho,Neurogenic claudication; relieved by flexion (shopping cart sign)
M53.1,cervicobrachial_syndrome,xray_cervical_spine,mri_cervical_spine(radiculopathy_myelopathy);emg_ncv(nerve_damage_localization);chest_xray(cervical_rib_tos),brain_ct;rf;ana;lumbar_puncture,5,moph_thailand_ortho,Neck pain radiating to arm; differentiate disc vs spondylosis vs outlet syndrome
M60.9,myositis_unspecified,cpk;cbc;electrolytes;urinalysis,viral_panel(influenza_dengue);leptospirosis_titer(endemic_thailand);ana(autoimmune);mri_muscle(inflammation_map);muscle_biopsy(definitive),xray_bone;uric_acid;angiogram,8,moph_thailand_general,Rule out infectious causes (viral/lepto) common in Thailand before autoimmune
M65.4,de_quervain_tenosynovitis,finkelstein_test_clinical,ultrasound_wrist(confirm_thickening);xray_wrist(rule_out_bony_pathology_cmc_oa),mri_wrist;ct_wrist;rf;ana;emg,4,moph_thailand_ortho,Radial styloid pain; overuse etiology; clinical diagnosis primarily
M70.6,trochanteric_bursitis,xray_hip_pelvis,ultrasound_hip(fluid_collection);mri_hip(refractory_cases);cbc(if_septic_bursitis_suspected);esr(if_septic),ct_hip;rf;ana;bone_scan;uric_acid,5,moph_thailand_ortho,Greater trochanteric pain syndrome; exclude hip joint pathology
M71.3,popliteal_baker_cyst,physical_exam_transillumination,ultrasound_knee(confirmation_exclude_dvt);mri_knee(meniscal_tear_association);xray_knee(osteoarthritis_check),ct_knee;biopsy;rf;ana;angiogram,5,moph_thailand_ortho,Posterior knee swelling; often secondary to intra-articular pathology
M72.0,dupuytren_contracture,clinical_exam_hand,ultrasound_hand(nodule_cord_assessment);liver_function_test(alcohol_association);fasting_blood_glucose(diabetes_association),mri_hand;xray_hand;rf;ana;uric_acid,5,general,Palmar fibromatosis; ring/little finger flexion contracture; table top test
M77.1,lateral_epicondylitis,clinical_exam_provocation,ultrasound_elbow(tendon_tear_calcification);xray_elbow(rule_out_arthritis_loose_bodies);mri_elbow(refractory_pre_op),emg;ct_elbow;rf;ana;cpk,4,moph_thailand_ortho,Tennis elbow; Cozen's test positive; extensor carpi radialis brevis origin
M80.0,osteoporosis_pathological_fracture,xray_fracture_site;dexa_scan,calcium;phosphorus;alkaline_phosphatase;25_oh_vitamin_d;tsh(secondary_cause);pth(secondary_cause);protein_electrophoresis(myeloma_screen),bone_scan;mri_whole_body;rf;ana;cpk,9,who_guidelines,Fragility fracture diagnosis implies severe osteoporosis; treat underlying density
N00.9,acute_nephritic_syndrome,urinalysis;renal_function;cbc;aso_titer;c3_c4_complement,renal_biopsy(if_rapid_deterioration_or_unclear_cause);ana_dsdna(if_lupus_suspected);anti_gbm(if_pulmonary_hemorrhage_present);chest_xray(if_fluid_overload),ct_brain;troponin;d_dimer;thyroid_function,10,moph_thailand_nephrology,"Classic triad: hematuria, hypertension, edema; screen for post-streptococcal etiology"
N01.9,rapidly_progressive_nephritic_syndrome,renal_function;urinalysis;cbc;anca_vasculitis_screen;anti_gbm,renal_biopsy(urgent_for_diagnosis);chest_xray(if_hemoptysis_or_goodpasture_suspect);hepatitis_profile(if_cryoglobulinemia_suspect),tumor_markers;holter_monitoring;bone_scan,9,general,Medical emergency requiring rapid immunological workup and biopsy to save renal function
N02.8,recurrent_persistent_hematuria,urinalysis;urine_phase_contrast_microscopy;renal_function;renal_ultrasound,cystoscopy(if_age_over_35_or_risk_factors);ct_urogram(if_upper_tract_lesion_suspected);urine_cytology(if_malignancy_risk);24h_calcium_urine(if_stone_suspect),pet_scan;mri_brain;cardiac_enzymes,8,moph_thailand_urology,Differentiate glomerular vs non-glomerular bleeding via microscopy (dysmorphic RBCs)
N03.9,chronic_nephritic_syndrome,renal_function;urinalysis;spot_urine_protein_creatinine;serum_albumin,renal_biopsy(for_histological_diagnosis);lipid_profile(if_proteinuria_heavy);viral_hepatitis_screen(etiology_screen),ct_head;spirometry;colonoscopy,8,general,Focus on quantifying proteinuria and preserving renal function
N06.9,isolated_proteinuria,urinalysis;spot_urine_protein_creatinine;renal_function,24h_urine_protein(if_spot_test_inconclusive);renal_ultrasound(structural_check);serum_protein_electrophoresis(if_myeloma_suspect_in_elderly),ct_chest;d_dimer;amylase,6,moph_thailand_nephrology,Rule out orthostatic proteinuria in young patients; assess for nephrotic range
N11.1,chronic_obstructive_pyelonephritis,renal_function;urinalysis;renal_ultrasound,dmsa_scan(assess_cortical_scarring);voiding_cystourethrogram(if_reflux_suspected);urine_culture(if_active_infection_signs),mri_spine;eeg;mammogram,7,urological_guidelines,Imaging critical to identify anatomical factors contributing to chronic infection
N12,tubulo_interstitial_nephritis,renal_function;urinalysis;cbc;electrolytes,urine_eosinophils(if_drug_induced_suspected);renal_biopsy(if_renal_failure_unexplained);renal_ultrasound(exclude_obstruction),echocardiogram;ct_brain;thyroid_scan,7,general,"Often drug-induced (NSAIDs, antibiotics); look for pyuria without bacteria"
N13.0,hydronephrosis_upj_obstruction,renal_function;renal_ultrasound;urinalysis,diuretic_renography_mag3(assess_obstruction_severity);ct_urogram(surgical_planning);creatinine_clearance(baseline_function),colonoscopy;bone_density;sputum_culture,6,moph_thailand_urology,Diuretic renography distinguishes functional obstruction from simple dilation
N13.3,hydronephrosis_unspecified,renal_ultrasound;renal_function;urinalysis,ct_abdomen_pelvis(identify_extrinsic_compression);nephrostogram(if_drainage_tube_placed);psa(if_prostate_cause_suspected),mri_brain;gastroscopy;rheumatoid_factor,7,general,"Initial ultrasound to confirm grading; CT to find etiology (stone, tumor, stricture)"
N13.9,obstructive_uropathy_unspecified,renal_function;renal_ultrasound;urinalysis;bladder_scan,foley_catheter_trial(if_retention_suspected);ct_urogram(if_level_of_obstruction_unclear);electrolytes(post_obstructive_diuresis_risk),stress_test;thyroid_function;vitamin_d,7,general,Urgent relief of obstruction required if AKI or infection present
N15.1,renal_abscess,cbc;renal_function;urinalysis;ct_abdomen_contrast,blood_culture(if_sepsis_signs);percutaneous_aspiration_culture(if_large_or_refractory);crp(monitoring_response),barium_enema;ecg(unless_sepsis_strain);d_dimer,8,moph_thailand_urology,CT with contrast is gold standard for diagnosis; prolonged antibiotics usually needed
N17.0,acute_tubular_necrosis,renal_function;electrolytes;urinalysis;urine_microscopy,urine_electrolytes_fena(differentiate_prerenal);renal_ultrasound(exclude_obstruction);cpk(if_rhabdomyolysis_cause),ct_brain;tumor_markers;iron_studies,8,moph_thailand_nephrology,Look for muddy brown casts in urine microscopy; support supportive care
N17.9,acute_kidney_injury_unspecified,renal_function;electrolytes;urinalysis;cbc,blood_gas(if_acidosis);renal_ultrasound(if_cause_unknown);urine_output_monitoring(strict);calcium_phosphate(if_tumor_lysis_risk),mri_knee;thyroid_antibody;lipid_profile,9,general,Determine Prerenal vs Renal vs Postrenal; avoid nephrotoxins
N21.0,bladder_calculus,urinalysis;renal_ultrasound;plain_abdominal_xray,cystoscopy(surgical_planning);ct_pelvis(if_stone_burden_unclear);uroflowmetry(check_obstruction_etiology),mri_brain;chest_ct;liver_biopsy,6,urological_guidelines,Often secondary to bladder outlet obstruction; treat underlying cause
N23,unspecified_renal_colic,urinalysis;renal_function;ct_kub_low_dose,cbc(if_infection_signs);urine_culture(if_pyuria_present);pregnancy_test(females_reproductive_age),mri_abdomen;barium_swallow;troponin(unless_atypical_pain),6,general,Low dose CT KUB is gold standard for stones; NSAIDs first line for pain
N25.1,nephrogenic_diabetes_insipidus,electrolytes;serum_osmolality;urine_osmolality;renal_function,water_deprivation_test(confirm_diagnosis);urine_specific_gravity(screening);mri_brain(exclude_central_causes);lithium_level(if_history_suggests),colonoscopy;chest_xray;d_dimer,8,moph_thailand_endocrine,Polyuria workup; distinguish from psychogenic polydipsia and central DI
N25.8,renal_tubular_acidosis,blood_gas;electrolytes;urinalysis;urine_ph,urine_anion_gap(differentiate_type);renal_ultrasound(check_nephrocalcinosis);calcium_phosphate_urine(stone_risk),ct_brain;cardiac_mri;tumor_markers,7,general,Assess for hyperchloremic metabolic acidosis with normal anion gap
N26,contracted_kidney_unspecified,renal_function;renal_ultrasound;urinalysis;cbc,renal_doppler_ultrasound(if_renal_artery_stenosis_suspected);calcium_phosphate_pth(ckd_mbd_workup),renal_biopsy(usually_contraindicated_in_small_kidneys);ct_head,6,moph_thailand_nephrology,Indicates advanced chronic damage; focus on CKD management
N28.1,renal_cyst_acquired,renal_ultrasound,ct_kidney_contrast(if_bosniak_classification_needed);mri_kidney(if_ct_contraindicated_or_indeterminate);renal_function(if_polycystic_suspect),bone_scan;pet_scan;chest_xray,4,general,Simple cysts require no follow-up; complex cysts need Bosniak grading
N30.0,acute_cystitis,urinalysis,urine_culture(if_recurrent_or_complicated);renal_ultrasound(if_pyelonephritis_concern);blood_glucose(if_diabetic),ct_abdomen;cystoscopy;blood_culture(unless_systemic_symptoms),5,moph_thailand_general,Uncomplicated cases often treated empirically without culture
N30.1,interstitial_cystitis,urinalysis;urine_culture;voiding_diary,cystoscopy_hydrodistention(diagnostic_therapeutic);urine_cytology(exclude_malignancy);urodynamics(exclude_other_causes),ct_head;barium_enema;thyroid_function,7,urological_guidelines,Diagnosis of exclusion; characterized by pain and frequency
N31.9,neurogenic_bladder_unspecified,renal_function;renal_ultrasound;urinalysis;post_void_residual,urodynamics(characterize_dysfunction);mri_spine(if_neurological_cause_unknown);cystoscopy(surveillance),chest_ct;liver_function;amylase,7,general,High risk of upper tract damage; monitor renal function and bladder pressure
N32.1,vesicointestinal_fistula,urinalysis;urine_culture;ct_abdomen_pelvis_oral_contrast,cystoscopy(visualize_fistula_opening);colonoscopy(identify_colonic_pathology);poppy_seed_test(confirm_diagnosis),mri_brain;cardiac_stress_test;mammogram,6,urological_guidelines,Pneumaturia and fecaluria are hallmarks; diverticulitis common cause
N34.1,nonspecific_urethritis,urinalysis;urethral_swab_gram_stain;naat_chlamydia_gonorrhea,syphilis_serology(screening);hiv_test(screening);urine_culture(exclude_cystitis),ct_abdomen;renal_biopsy;prostate_biopsy,6,general,Treat partners; consider Mycoplasma genitalium if persistent
N35.9,urethral_stricture_unspecified,uroflowmetry;urinalysis;post_void_residual,retrograde_urethrogram(localize_stricture);cystoscopy(direct_visualization);urine_culture(if_symptoms_suggest_infection),ct_chest;thyroid_ultrasound;bone_density,6,urological_guidelines,Decreased stream force; history of trauma or infection often present
N39.3,stress_incontinence,urinalysis;cough_stress_test,urodynamics(if_surgery_planned_or_diagnosis_unclear);pad_test(quantify_severity);post_void_residual(exclude_retention),ct_brain;colonoscopy;serum_electrolytes,5,general,Leakage with increased intra-abdominal pressure; verify no retention
N39.4,other_specified_urinary_incontinence,urinalysis;voiding_diary;post_void_residual,urodynamics(if_mixed_or_refractory);urine_culture(exclude_infection_cause);renal_ultrasound(if_overflow_suspected),chest_xray;liver_function;troponin,6,general,Covers urge incontinence and overflow; distinguish mechanism for treatment
N43.0,encysted_hydrocele,scrotal_ultrasound;physical_exam,tumor_markers(if_testicular_mass_cannot_be_excluded);urinalysis(if_infection_suspected),ct_abdomen;fna_biopsy(contraindicated_if_tumor_risk);prostate_biopsy,4,general,Transillumination positive; ultrasound confirms fluid vs solid
N44.0,torsion_of_testis,scrotal_doppler_ultrasound,urinalysis(exclude_infection_later);surgical_exploration(immediate_if_clinical_suspicion_high),ct_abdomen;urine_culture(do_not_delay_surgery);antibiotics(unless_infection_proven),3,general,Surgical emergency; time is testis; do not delay for imaging if probability high
N45.9,epididymo_orchitis,urinalysis;urine_culture;scrotal_ultrasound,naat_chlamydia_gonorrhea(if_sexually_active_age);cbc(if_systemic_signs);tumor_markers(if_mass_persists_after_treatment),ct_head;colonoscopy;d_dimer,6,moph_thailand_urology,Differentiate from torsion; antibiotics based on likely organism (STI vs E.coli)
G00.9,bacterial_meningitis,lumbar_puncture;csf_analysis;blood_culture;cbc,ct_brain(if_focal_neuro_signs_or_papilledema);pcr_meningitis_panel(if_available);coagulation_profile(if_petechiae),mri_spine;eeg(unless_seizures);nerve_conduction_study,7,who_guidelines,Medical emergency; start antibiotics immediately after cultures; CT before LP if raised ICP suspected
G04.9,encephalitis,mri_brain;csf_analysis;eeg;cbc,pcr_herpes_simplex(if_viral_suspected);autoimmune_encephalitis_panel(if_paraneoplastic_suspected);hiv_test,nerve_conduction_study;myelogram;ct_abdomen,8,moph_thailand_general,MRI is superior to CT for temporal lobe involvement in HSV encephalitis
G06.0,intracranial_abscess,mri_brain_contrast;blood_culture;cbc;esr,ct_brain(if_mri_unavailable);stereotactic_aspiration(if_large_lesion);dental_panoramic_xray(if_dental_source);echocardiogram(if_embolic_source_suspected),lumbar_puncture(contraindicated_high_icp),7,general,Lumbar puncture is generally contraindicated due to risk of herniation
G09,cns_inflammatory_sequelae,mri_brain,eeg(if_seizures_persist);neuropsychological_testing(if_cognitive_deficit);rehabilitation_assessment,csf_analysis(unless_reactivation_suspected);blood_culture,4,general,Focus on assessment of permanent damage and rehabilitation potential
G11.1,early_onset_cerebellar_ataxia,mri_brain;genetic_testing_ataxia,vitamin_e_levels(if_deficiency_suspected);nerve_conduction_study(if_neuropathy_signs);alpha_fetoprotein(ataxia_telangiectasia),ct_abdomen;bone_scan,6,general,MRI to rule out structural causes; genetic testing for Friedreich's ataxia
G12.2,motor_neuron_disease,emg_nerve_conduction;mri_cervical_spine;mri_brain,thyroid_function(differential);ck_level;pulmonary_function_test(if_respiratory_symptoms);genetic_testing(if_familial),muscle_biopsy(unless_atypical);bone_scan,7,who_guidelines,Exclude cervical myelopathy and multifocal motor neuropathy
G23.1,progressive_supranuclear_palsy,mri_brain,dat_scan(if_parkinson_overlap);swallow_study(if_dysphagia);neuropsychological_testing,eeg;csf_analysis;muscle_biopsy,4,general,Look for hummingbird sign on MRI midbrain
G24.3,spasmodic_torticollis,clinical_evaluation,mri_cervical_spine(if_radiculopathy);emg(for_botox_guidance);wilson_disease_screen(if_young_onset),ct_head;eeg,4,moph_thailand_general,Primarily clinical; imaging to rule out secondary causes
G30.0,alzheimer_early_onset,mri_brain_volumetric;cognitive_assessment_moca,pet_amyloid(if_diagnosis_unclear);genetic_testing_apoE(counseling);csf_biomarkers(amyloid_tau);thyroid_function;vitamin_b12,eeg(unless_seizures);angiogram,8,who_guidelines,Early onset requires more rigorous exclusion of metabolic and genetic causes
G31.0,frontotemporal_dementia,mri_brain;cognitive_assessment,fdg_pet_scan(if_mri_inconclusive);genetic_testing(familial_history);emg(if_als_overlap),carotid_doppler;eeg,5,general,Distinctive atrophy in frontal/temporal lobes; behavioral variant common
G36.0,neuromyelitis_optica,mri_brain_spine;aquaporin_4_antibodies;visual_evoked_potentials,mog_antibodies(if_aqp4_negative);oct_scan(retinal_layer);csf_analysis(oligoclonal_bands_often_negative),muscle_biopsy;ct_chest,7,general,Differentiate from MS; AQP4-IgG is highly specific
G37.3,acute_transverse_myelitis,mri_spine_contrast;mri_brain;csf_analysis,autoantibody_panel(nmo_mog);vitamin_b12(differential);hiv_test;syphilis_serology,ct_spine(low_sensitivity);bone_scan,8,general,Urgent MRI to rule out compressive myelopathy
G44.0,cluster_headache,mri_brain(first_presentation),pituitary_function_test(if_pituitary_lesion_suspected);ct_angiogram(if_vessel_dissection_suspected),eeg;sinus_xray;lumbar_puncture,3,moph_thailand_general,"Strictly unilateral, severe pain with autonomic features; MRI rules out structural mimics"
G45.0,vertebro_basilar_syndrome,mri_brain_dwi;mra_neck_brain,ct_angiogram(if_mri_contraindicated);echocardiogram(embolic_source);holter_monitor;lipid_profile,eeg;lumbar_puncture,7,general,High risk of posterior circulation stroke; evaluate vertigo/diplopia
G45.3,amaurosis_fugax,carotid_doppler;ophthalmology_exam,mri_brain(if_stroke_suspected);echocardiogram;esr(giant_cell_arteritis_screen);lipid_profile,vep;eeg,6,general,Transient monocular blindness; urgent workup for carotid stenosis
G50.0,trigeminal_neuralgia,mri_brain_fiesta_sequence,esr_crp(if_temporal_arteritis_suspected);dental_xray(if_dental_cause_suspected),eeg;ct_head(low_yield);nerve_conduction_study,3,general,MRI to look for neurovascular compression at root entry zone
G51.0,bells_palsy,clinical_evaluation,mri_brain_iac(if_atypical_course_or_hearing_loss);blood_glucose(diabetes_check);lyme_serology(if_endemic_exposure),ct_head;nerve_conduction_study(early_stage);eeg,4,moph_thailand_general,Diagnosis of exclusion; imaging not needed for typical presentation
G54.0,brachial_plexus_disorders,mri_brachial_plexus;emg_nerve_conduction,chest_xray(pancoast_tumor);genetic_testing(hereditary_neuralgic_amyotrophy),eeg;ct_head,4,general,MRI best for structural lesions; EMG localizes the level of injury
G54.4,lumbosacral_radiculopathy,mri_lumbosacral_spine,emg_nerve_conduction(if_diagnosis_unclear);hba1c(diabetic_radiculopathy);ct_spine(if_mri_contraindicated),bone_scan(unless_metastasis_suspected);eeg,4,general,Correlate imaging findings with clinical dermatome/myotome
G60.0,hereditary_motor_sensory_neuropathy,emg_nerve_conduction;genetic_testing,foot_xray(if_deformities);muscle_biopsy(rarely_needed),mri_brain;csf_analysis;ct_spine,4,general,Charcot-Marie-Tooth disease; demyelinating or axonal pattern on NCS
G61.0,guillain_barre_syndrome,csf_analysis;emg_nerve_conduction;pulmonary_function_test,mri_spine_contrast(if_root_enhancement_check);serum_ganglioside_antibodies;electrolytes,mri_brain(usually_normal);muscle_biopsy,6,moph_thailand_general,Albuminocytologic dissociation in CSF; monitor respiratory status closely
G61.8,cidp,emg_nerve_conduction;csf_analysis,mri_plexus(hypertrophy);serum_protein_electrophoresis(monoclonal_gammopathy);nerve_biopsy(if_atypical),ct_brain;eeg,5,general,Chronic equivalent of GBS; requires evidence of progression >8 weeks
G70.0,myasthenia_gravis,achr_antibodies;musk_antibodies;ct_chest,repetitive_nerve_stimulation(emg);single_fiber_emg(if_seronegative);thyroid_function,mri_brain;lumbar_puncture,6,moph_thailand_general,CT chest to rule out thymoma; EMG shows decremental response
G71.0,muscular_dystrophy,ck_level;genetic_testing_dystrophin,muscle_biopsy(if_genetic_negative);echocardiogram(cardiomyopathy_screen);emg;pulmonary_function_test,mri_brain;csf_analysis,6,general,Duchenne/Becker types; monitor cardiac and respiratory function
G73.7,myopathy_secondary,ck_level;electrolytes;thyroid_function,emg;muscle_biopsy;ana_profile(connective_tissue_disease);cortisol_level,mri_spine;eeg,7,general,"Investigate underlying endocrine, toxic, or inflammatory causes"
G91.2,normal_pressure_hydrocephalus,mri_brain;csf_tap_test,csf_infusion_study(if_tap_test_equivocal);gait_analysis;neuropsychological_testing,eeg;emg,5,general,"Triad: gait disturbance, dementia, urinary incontinence; MRI shows ventriculomegaly disproportionate to atrophy"
G93.0,arachnoid_cyst,mri_brain,ct_brain(calcification);csf_flow_study(if_obstructive);neuropsychological_testing(if_symptomatic),biopsy(unless_tumor_suspected);chemotherapy,3,general,Often incidental; treatment only if symptomatic or expanding
G93.4,encephalopathy_unspecified,metabolic_panel;ammonia;cbc;urinalysis;ct_brain,mri_brain(if_ct_negative);eeg(if_seizures_or_subclinical);drug_screen;thyroid_function,nerve_conduction_study;myelogram,9,moph_thailand_general,Identify toxic-metabolic causes; EEG to rule out non-convulsive status
G95.0,syringomyelia,mri_spine_total,mri_brain(chiari_malformation);emg(if_muscle_wasting);csf_flow_study,bone_scan;abdominal_ultrasound,4,general,Cape-like distribution of sensory loss; investigate for Chiari malformation
G96.0,csf_leak,beta_2_transferrin_test;mri_brain_contrast,ct_myelogram(localize_leak);radionuclide_cisternography;mri_spine(if_spinal_leak);ct_paranasal_sinuses,emg;eeg,6,general,"Intracranial hypotension signs on MRI (pachymeningeal enhancement, sagging brain)"
F05.0,delirium_without_dementia,complete_blood_count;electrolytes;kidney_function_test;urinalysis;blood_glucose,ct_brain(if_focal_neurological_signs_or_head_trauma);lumbar_puncture(if_meningitis_suspected);urine_toxicology_screen(if_substance_cause_suspected);blood_culture(if_sepsis_suspected);chest_xray(if_hypoxia_or_infection),mri_brain(unless_ct_inconclusive);tumor_markers;thyroid_ultrasound,9,moph_thailand_general,Acute onset fluctuating attention; identify underlying organic cause immediately
F06.3,organic_mood_disorder,thyroid_function_test;vitamin_b12;folate;complete_blood_count;mri_brain,eeg(if_epileptic_features);syphilis_serology(if_risk_factors);hiv_screening(if_risk_factors);ana_antinuclear_antibody(if_autoimmune_suspected);urine_toxicology_screen(if_substance_history),colonoscopy;cardiac_enzymes;abdominal_ultrasound,8,who_guidelines,Depressive or manic symptoms caused by direct physiological consequence of a medical condition
F11.2,opioid_dependence,urine_drug_screen_opioids;liver_function_test;hiv_screening;hepatitis_c_antibody,hepatitis_b_surface_antigen(if_unvaccinated);tb_screening_chest_xray(if_high_risk_group);ecg(if_methadone_treatment_planned);pregnancy_test(females_reproductive_age),ct_brain;mri_brain;thyroid_function,8,moph_thailand_addiction,Assess for infectious complications of IV drug use
F12.2,cannabis_dependence,urine_drug_screen_cannabinoids;psychosocial_assessment,liver_function_test(if_alcohol_co_use);chest_xray(if_chronic_respiratory_symptoms);ecg(if_palpitations_or_arrhythmia_history),ct_brain;thyroid_function;tumor_markers,5,moph_thailand_addiction,Focus on behavioral intervention; rule out respiratory complications
F13.2,sedative_hypnotic_dependence,urine_drug_screen_benzodiazepines;liver_function_test;gamma_gt,serum_ethanol_level(if_alcohol_co_use_suspected);cognitive_assessment_moca(if_memory_impairment);kidney_function_test(elderly),mri_spine;colonoscopy,6,who_guidelines,Monitor for withdrawal seizures; assess liver damage
F14.1,cocaine_harmful_use,urine_drug_screen_cocaine;ecg_12_lead;creatine_kinase,troponin_t(if_chest_pain);echocardiogram(if_chronic_use_cardiomyopathy);kidney_function_test(if_rhabdomyolysis_risk);nasal_septum_exam(if_snorting),thyroid_function;prolactin,7,who_guidelines,High cardiovascular risk; check for rhabdomyolysis
F15.1,methamphetamine_harmful_use,urine_drug_screen_amphetamines;dental_examination;ecg_12_lead,hiv_screening(if_high_risk_behavior);creatine_kinase(if_agitation_or_restraint);kidney_function_test(if_dehydration);std_panel(if_sexual_risk),mri_brain(unless_stroke_signs);tumor_markers,7,moph_thailand_addiction,Methamphetamine is prevalent in Thailand; assess for 'meth mouth' and cardiac strain
F15.2,methamphetamine_dependence,urine_drug_screen_amphetamines;liver_function_test;hiv_screening;syphilis_serology,hepatitis_c_antibody(if_iv_use);chest_xray(if_tb_suspected);ecg(if_tachycardia);pregnancy_test(females),ct_abdomen;thyroid_ultrasound,8,moph_thailand_addiction,Chronic use assessment including infectious disease screening
F19.1,poly_drug_harmful_use,comprehensive_toxicology_screen;complete_blood_count;liver_function_test;kidney_function_test,hiv_screening(risk_assessment);hepatitis_b_c_screen(risk_assessment);ecg(if_stimulant_or_opioid_mix),tumor_markers;colonoscopy,8,who_guidelines,Complicated clinical picture; broad screening for organ damage required
F22.0,delusional_disorder,thyroid_function_test;complete_blood_count;basic_metabolic_panel,ct_brain(if_late_onset_or_neuro_signs);urine_toxicology_screen(if_substance_induced_suspected);vitamin_b12(elderly);syphilis_serology(rule_out_neurosyphilis),eeg(unless_seizure_history);abdominal_ultrasound,6,moph_thailand_general,"Rule out organic causes (thyroid, B12, syphilis, tumor) before confirming primary psychiatric diagnosis"
F23.1,acute_polymorphic_psychotic_disorder,urine_drug_screen;complete_blood_count;electrolytes;thyroid_function_test,ct_brain(if_first_episode_psychosis);eeg(if_fluctuating_consciousness);anti_nmda_receptor_antibody(if_encephalitis_suspected);lumbar_puncture(if_infection_suspected),colonoscopy;tumor_markers,8,who_guidelines,Rapid onset; priority is to exclude toxicity (drugs) and acute organic brain disease
F25.0,schizoaffective_disorder_manic,thyroid_function_test;kidney_function_test;urine_drug_screen,lithium_level(if_on_therapy);valproate_level(if_on_therapy);lipid_profile(metabolic_syndrome_screen);glucose_fasting(metabolic_screen),ct_chest;bone_scan,7,moph_thailand_general,Monitor metabolic side effects of antipsychotics
F25.1,schizoaffective_disorder_depressive,thyroid_function_test;complete_blood_count;urine_drug_screen,vitamin_b12(rule_out_deficiency);prolactin(if_galactorrhea_antipsychotic_induced);ecg(if_qtc_prolongation_risk),abdominal_ultrasound;mammogram,6,moph_thailand_general,Rule out organic depressive causes; monitor medication safety
F30.0,hypomania,thyroid_function_test;urine_drug_screen;young_mania_rating_scale,mri_brain(if_personality_change_only);liver_function_test(baseline_for_mood_stabilizers);pregnancy_test(if_medication_start),echocardiogram;ct_abdomen,5,who_guidelines,Less severe than mania; ensure not secondary to hyperthyroidism or stimulants
